*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
صلاة	prayer
شاعر	poet
حلم	dream
وصول	"arrival; attainment, achievement (not حضور)"
قتل	to kill sb
سرعة	speed
عزيز	"dear, precious (not حبيب)"
مساء	evening
عنوان	"address; title, headline; (website) URL"
طبيب	"physician, doctor (not دكتور)"
استخدام	"usage, using, utilization"
*** 646-660 (/course/66669/1-5000-arabic-frequency-audio/44/)	
عقل	"n. mind, intellect (not بال)"
عيد	"holiday, festival, feast"
أمل	"hope, wish (not رغبة)"
خارجيّة	"foreign ministry, foreign office"
دفع	"to push sth; to pay (a sum of money); to compel, move sb إلى to do sth"
قيام	"vn. undertaking, carrying out ب (task, activity); playing ب (a role); rising, standing up"
منتخب	elected; national team
اثنان	two
جنديّ	soldier (not عسكري)
إذن	"therefore, consequently (not لذلك، لذا)"
اتّفاق	"agreement; accord, treaty (not عقد, اتفاقية)"
نور	light; lamp (not ضوء)
شديد	"intense, strong, severe"
شعبيّ	"popular; national, of the people"
محافظة	"province, governorate (not ولاية)"
*** 661-675 (/course/66669/1-5000-arabic-frequency-audio/45/)	
انتظر	"to expect, wait for sth/sb (not توقع)"
مثّل	"to represent, speak for sb; to play, act as sb (film); to exemplify, illustrate sth"
ظرف	"circumstance, condition, situation (not حال or حالة)"
أسرة	"family, community (not عائلة or أهل)"
قرية	village
مقابل	"opposite (to), corresponding (to), vis-à-vis (not مواجه)"
جوّ	"air, atmosphere; weather, climate (not هواء، طقس)"
وكالة	"agency; office; dealership; proxy, deputation, power of attorney"
حاجة	"thing, something, object (not شيء)"
خطّة	"n. plan, project (not مشروع)"
مدنيّ	"adj.,n. civil, civilian"
شارك	"to participate, share (with sb)  in sth"
نزل	to descend; stay at
صحّ	"right, correct; true (not صحيح)"
أزمة	"crisis, crunch"
*** 676-690 (/course/66669/1-5000-arabic-frequency-audio/46/)	
بحث	"to look, search عن for; to discuss, debate (في) sth; to research, examine, look into في sth"
مملكة	kingdom
إطلاق	"releasing, launching; (النّار) firing, shooting"
"أوسط ، وسطى"	"middle, central (not متوسط)"
محاولة	"attempt, effort (not جهد)"
قدر	"to be able to, be capable of (doing sth) (not استطاع)"
"أسود ، سوداء"	black
قسم	"section, portion; department, division (not قطاع)"
تحديد	specification; definition
خلف	"back, rear part"
شمس	sun
مزيد	"addition, added amount, greater number (مِن of); more, additional, increased (مِن) (not إضافة or زيادة)"
تعرّض	"to be exposed to sth; to encounter, run into, have to deal with sth"
"سبعة ، سبع"	seven
اهتمام	"interest, attention (not مصلحة / هم); care, concern"
*** 691-705 (/course/66669/1-5000-arabic-frequency-audio/47/)	
دينيّ	religious; spiritual
مساعدة	"help, support (مـ)"
كافّة	"(in idafa) all of, the entirety of"
عبد	"servant, slave"
غرب	n. west; West
عاصمة	capital city
إطار	"framework, context (not سياق، نطاق)"
صحّيّ	"health-related, sanitary"
مشكور	"adj. thankful, grateful; interj. thanks! (not شكرا)"
حضور	"vn. arrival, coming; attending, being present at (meeting, party, concert); viewing (film, TV show) (not وصول)"
محلّ	"place, location; shop, store"
يهوديّ	"Jew, Jewish"
تنظيم	"vn. organizing, planning; regulating, controlling;  organization, network"
رياضة	sports; physical exercise; physical education; mathematics
فضل	"favor, grace; kindness, goodwill; distinction, merit, credit; surplus"
*** 706-720 (/course/66669/1-5000-arabic-frequency-audio/48/)	
أثناء	"during (not خلال، طوال)"
حقّق	"to achieve, realize (success, goals); to serve, promote (interests); to investigate في sth; to interrogate مع sb"
رفض	"to reject, refuse sth"
شخصيّة	"personality, identity; person, individual"
أمين	"n. trustee, keeper; secretary; adj. loyal, faithful, reliable"
مستشفىً	hospital
ولا	"(Dia.) or; otherwise, or else;"
طول	length; height
رابع	fourth (ordinal)
كذا	"thus, like that, in this way (not هكذا، هيك)"
طاقة	"energy, power; potential, ability"
مين	(Egy.Lev.) who
قائل	a.p. saying; n. (person) saying
كاتب	"writer, author; office worker; writing"
معروف	"adj. known, well-known; n. favor, kind gesture, good deed; what is right (opposite of مُنْكَر )"
*** 721-735 (/course/66669/1-5000-arabic-frequency-audio/49/)	
رياضيّ	"adj. sports, sportive; mathematical; n. mathematician"
اتّصل	"to contact ب sb, get in touch ب with sb; to be connected or related إلى to sth (not تعلق)"
أجنبيّ	"foreign, foreigner"
جمهور	"multitude, public"
هاي	"(Lev.) this (fem.sg.), these (non-human pl. and fem.pl.)"
استمرّ	"to last, go on (for a certain amount of time); to continue في doing sth (not دام)"
قرأ	to read sth
سماء	"sky, heaven"
هذي	"this (fem.sg.), these (MSA: non-human pl.; Dia. also fem.pl.)"
نسي	to forget sth/sb
جهد	"effort, exertion; endeavor (not محاولة)"
شهيد	martyr
رفع	"to lift, raise sth; to increase, boost sth; to lodge على against sb (a complaint)"
عادة	"habit, custom, practice"
ضغط	"pressing, exerting pressure; pressure, stress"
*** 736-750 (/course/66669/1-5000-arabic-frequency-audio/50/)	
سهم	"n. share, stock (econ.); arrow"
زمان	"time, period, duration (not وقت، زمن، آن، حين)"
مسألة	"issue, affair; matter, question  (not قضيّة, شأن، أمر، or خصوص)"
كون	"being, by virtue of being"
جريمة	crime
إرهاب	"n. terror, terrorism; vn. terrorizing, frightening"
شوي	(Lev.Gul.Irq.) a little bit
قدر	"extent, degree; amount, value; ability, capability, capacity"
نهائيّ	"final, definitive, conclusive; pl. final (in sports)"
جسم	"body; form, mass; organism (not جسد)"
حساب	"calculation, appraisal; account, invoice; expense"
إنسانيّ	"human; humane, humanitarian"
ساكن	"resident, inhabitant (not مقيم)"
شغل	"work, labor; occupation, business (not عمل)"
علاج	"treatment, therapy"
*** 751-765 (/course/66669/1-5000-arabic-frequency-audio/51/)	
يعني	"(used as a filler) I mean, y'know"
إقامة	"n. residency, establishing (not إنشاء)"
سعادة	n. happiness
مو	(Irq.Gul.Lev.) Not
أصاب	"to afflict ; often passive = to suffer from injury, be affected by illness (not عانى)"
أُصِيبَ	"to suffer from injury, be affected by illness (not عانى)"
تعلّق ب	"to be connected with, have to do (not اتصل)"
حماية	"n. protection (not أمان), protecting (not أمن)"
اعتبار	"vn. considering, regarding; n. consideration, belief"
تقدّم	"n. progress, advancement; vn. coming forward (not تنمية)"
شخصيّ	"personal, private (not خاص)"
شخصياً	"personally, in person"
مشير	"a.p. pointing out, indicating; adj. indicative (not إشارة)"
شبكة	"n. net; web, network; grid, system"
زواج	"marriage, wedding"
خارجيّ	"adj. foreign; outer, exterior, outside"
*** 766-780 (/course/66669/1-5000-arabic-frequency-audio/52/)	
مجرّد	"n. mere, nothing but"
بمجرّد	"as soon as, the instant"
لمجرّد	for no other reason but
قرّر	"to decide, resolve"
كمان	(Egy.Lev) adv. also
حديث	"adj. new, recent; modern (not جديد)"
حديثًا	recently (not مؤخرا)
عمّ	paternal uncle
بال	"mind, attention (not عقل)"
خطر على بالي	it occured to me
راح عن بالي	it slipped my mind
كشف على	to examine (medically)
كشف عن	"to reveal, disclose"
كشف النقاب عن	to uncover sth (phrase)
ذو	"having, possessing"
طالب	"to demand, call for; require"
غد	tomorrow
أحسن	better/best (not أفضل)
ملفّ	"file, folder; dossier; document (comp.)"
حجم	"volume, size"
شرط	"precondition, stipulation"
شكّل	"to constitute, form compose sth  (not كوّن)"
*** 781-792 (/course/66669/1-5000-arabic-frequency-audio/53/)	
وفقاً لـ	"according to (not حسب, طيقا or بِمُوجِب)"
عنصر	"factor, element; race, ethnicity"
مناسبة	"occasion, opportunity (not فرصة)"
مناسبات	special occasions
بالمناسبة	"incidentally, by the way"
اللهم	Oh God!
غالٍ	"expensive, costly"
صدر	chest
سمح	to allow
فوز	n. victory (not نصر)
بعد	"(adv) afterward, later; still; (not) yet"
أمّا بعد	"and now, to our main point"
سِجن	prison
فَتاة	"young girl (not بنت , شابة , آنِسة)"
سِرّ	n. secret
سرّاً	secretly
*** 793-806 (/course/66669/1-5000-arabic-frequency-audio/54/)	
ّحًر	"adj. free, independent; n. liberals; independents"
مسؤولية	"responsibility, duty"
نشر	"n. spreading, publication, announcement"
صناعة	"n. manufacture, industry"
قِمّة	n. summit
ّعَدُو	enemy
مَلَكَ	"to own, possess, to control sth"
ناحية	"side, perspective, aspect; region (not جهة، جانب، طرف)"
مطلوب	"adj. wanted, needed; demanded, required, necessary (not لازم, ضروري)"
اِستثمار	vn. investing; n. investment
توقّع	"to expect, anticipate sth; to look forward to sth  (not انتظر)"
نفس	"n. soul, spirit (self)"
علم النفس	psychology
اِستمرار	"n. continuation, continuity"
باستمرار	constantly
*** 807-820 (/course/66669/1-5000-arabic-frequency-audio/55/)	
مناسب	"suitable, appropriate"
حوالي	"approximately, around, about (not تقريبا)"
حضر	"to come, show up; to attend; to view (film, TV show)"
إمارة	Emirate
خطأ	"n. mistake, error; adj. wrong, mistaken"
تحية	"n. greeting, salutation"
نبيّ	prophet
تَطَوُّر	"progress, development  (not تطوير, تقدم)"
مَتَى	interrog. when?
إصابة	"affliction, illness, injury"
فَنّ	"art; specialty; type, variety"
قَتْل	"vn. murder, killing"
سار	"to move, march (walk)"
مهمة	"task, assignment, mission"
مهمات	"equipment, material, supplies"
*** 821-834 (/course/66669/1-5000-arabic-frequency-audio/56/)	
حُزن	"n. sadness, grief, sorrow, anguish"
مريض	"n. patient, sick person; adj. ill, sick"
مشترك	"adj. shared, common, joint, collective"
جمهورية	republic
واسِع	"wide, broad; widespread, extensive"
ده 	(Egy.) this (masc.)
قادِر	"adj. capable, able"
حاكم	"n. ruler, governor; adj. ruling, in power"
تربية	"vn. education; raising, child-rearing; breeding"
جبل	mountain
أطلق	"to let go; let out sth, release"
أطلق سَراح	"to set free, release (from prison)"
أطلق النار	"to shoot, fire (at s.o.)"
جلْسة	"session, meeting"
حيّ	"neighborhood; quarter, district"
عدَّ	"to count; to consider, regard sth/sb as (not حسب)"
*** 835 - 848 (/course/66669/1-5000-arabic-frequency-audio/57/)	
ُّلا يُعَدَ	countless
عافية	"good health, vigor"
تِجَاريّ	"adj. commercial, business"
القرآن	The Qur'an
أُغنية	"song, melody"
رئيسي	"adj. main, chief, principle (not أساسي)"
كأس	cup
معظم	most / the majority of (in idafa)
شك	doubt
لا شك / بِلا شك	without a doubt
لعب	"vn. playing n. game, sport"
قناة	"canal, channel"
إنتاج	"n. production, output"
حُصول	"vn. obtaining, getting; occuring, happening"
مُعَيَّن	"adj. specific, determined; appointed, designated; fixed, set (not محدد, not محدود)"
رَفْع	"n. raising, lifting; increasing"
*** 849 - 862 (/course/66669/1-5000-arabic-frequency-audio/58/)	
بسيط	"adj. simple, plain; insignificant"
عائلة	"n. family, household, clan (not أهل، أسرة)"
مسجد	n. mosque
سريع	adj. quick
سريعاً	adv. quickly
سلامة	"security, safety; integrity"
مع السلامة	goodbye
مالية	n. finance
اِتّجاه	"n. direction, course; trend, movement"
نَقَلَ	"to transfer, transport sth; to transmit; عن to quote s.o."
صَمْت	n. silence
سعى	"to pursue, strive for sth ; to chase after sth (not بغى)"
سعى وراء	to chase after (a goal)
أقام	"to install, establish, set up sth; to hold, host (event, party); to reside, live, set up residence at في"
خوف	n. fear
*** 863 - 875 (/course/66669/1-5000-arabic-frequency-audio/59/)	
خوفاً	for fear (of من); (على for)
ضوء	"light, lamp (not نور)"
بدل	n. substitute
بدلاً من	"instead of, in lieu of"
طِبّيّ	adj. medical
دائرة	"n. office, bureau; distrct; circle, ring"
رِئاسة	"n. presidency, leadership, direction, chairmanship"
اِرتفاع	"n. rise, increase (not نمو), height, elevation"
عالِم	"n. scientist; (Muslim legal) scholar; a.p. knowing, knowledgeable of"
كَـ	"as, like"
كالتالي	as follows
بطل	"n. hero, champion"
خُروج	"departure, leaving; getting out, exit; deviation (from عن)"
إعْلان	"vn. announcing, declaring; n. announcement, declaration, statement; advertisement"
عَقَدَ	"to hold, conclude, convene (meeting)"
ثمانية	eight
*** 876 - 889 (/course/66669/1-5000-arabic-frequency-audio/60/)	
ثمانية عشر	eighteen
ظِلّ	shade; patronage (pl. auspices)
ثقيل الظِلّ	"unpleasant, disagreeable (person)"
سَجَّلَ	"to register, to record (audio), to score (point)"
ساحة	"n. scene; field, arena; (plaza, square) (not ميدان)"
عصر	"n. age, period, time, epoch"
نَوَويّ	"adj. nuclear, atomic"
فِرقة	"n. group, team; (music) band, ensemble; (mil.) division, squad"
قََرن	"century, age; horn (used in Horn of Africa)"
حكومي	"adj. governmental, state; official; n. state or government officer"
رؤية	"n. vision, sight; viewing, perspective, view, opinion (not نظرة, رأي، نظر or فكرة)"
تجارة	"commerce, business"
تابع	"to follow sth/sb, to monitor, keep an eye on sth/sb (e.g. development); to continue (III)"
تصريح	"declaration, statement (not بيان); permit"
وقف	"vn. stopping, ceasing"
*** 890 - 904 (/course/66669/1-5000-arabic-frequency-audio/61/)	
صِراع	"n. struggle, conflict, fight (not نزاع)"
تعامُل	"relations, (business) dealings/transactions مع n. working, doing business (with)"
عهد	"n. age, period; tenure, administration, reign; treaty, pact"
كُلّية	"n. college, institute, faculty; entirety, totality"
ثِقة	"n. confidence, trust"
ضبط	n. adjusting; regulating; seizure; confiscation
بالضبط	interj. exactly
سَمَّى	"to name, designate, call"
عانى	to suffer sth or from sth من (not أصاب)
