*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
la isleña	islander
el colorín	goldfinch
la jorobada	"humpback, hunchback"
la mestiza	"mongrel, mestizo"
*** 3501 - 3510 (/course/195614/spanish-nouns-5/351/)	
la neurocirujana	neurosurgeon
la peladora	peeler
la perpetradora	perpetrator
la pordiosera	"beggar, mendicant"
el fiscalizador	tax collector
la segoviana	Segovia
(el)(la) hispalense	Seville person
la súbdita	"subject, national, citizen"
el trasformador	transformer
la urdidora	warping
*** 3521 - 3530 (/course/195614/spanish-nouns-5/352/)	
la sicodelia	psychedelia
el lingotazo	slug
la aprovechada	"opportunist, scrounger"
el abonamiento	fertilization
(el)(la) absentista	"absentee, absentee landlord"
el acobardamiento	Pinning
el acrobatismo	tumbling
el adanismo	Adamism
el adormecedor	numbing
la afeitadora	"razor, shaver"
*** 3511 - 3520 (/course/195614/spanish-nouns-5/353/)	
la vicesecretaría	Deputy Secretary
la wagneriana	Wagnerian
la zoóloga	zoologist
el taponazo	pop
el alfabetizado	literate
la barbuda	bearded
el extrusor	extruder
el guanábano	soursop
la mondonguera	tripe
el pirulí	lollipop
*** 3531 - 3540 (/course/195614/spanish-nouns-5/354/)	
la afrikaner	Afrikaner
la afufa	Afufa
el agostamiento	withering
la agrafia	agraphia
el aguilón	"gable, boom, jib"
el alberque	Hostel Out
el albuminoide	albuminoid
la alejandrina	Alexandrian
la alentada	encouraged
el alergeno	allergen
*** 3551 - 3560 (/course/195614/spanish-nouns-5/355/)	
el anorexígeno	anorectic
el ansarón	gosling
la antecedencia	antecedence
la anteportada	bastard title
el archibebe	redshank
la argumentadora	argumentative
el arsenito	arsenite
la artralgia	arthralgia
el asincronismo	asynchronism
el atendedor	Attendant
*** 3541 - 3550 (/course/195614/spanish-nouns-5/356/)	
el almenaje	crenellation
(el)(la) almorávide	almoravid
el alótropo	allotrope
el alquilador	"renter, hirer, tenant"
la amigdalina	amygdalin
el amilo	amyl
el amoralismo	amoralism
el andarín	walker
el andullo	"plug, pudding"
el anegadizo	to flooding
*** 3571 - 3580 (/course/195614/spanish-nouns-5/357/)	
el basset	basset
el batimiento	paddling
la bearnesa	bearnaise
el bellotero	Acorn
el bicromato	bichromate
el bierzo	birthplace
el bies	bias
el bígamo	bigamist
(el)(la) billarista	billiard
el bisulfuro	"bisulfide, bisulphide"
*** 3561 - 3570 (/course/195614/spanish-nouns-5/358/)	
el atenuador	attenuator
la atracadora	"robber, thief"
el averiguador	inquirer
la azoemia	azotemia
(el)(la) bactericida	"bactericide, germicide"
el baleo	Baleo
la ballestera	Ballestera
la balota	ballot
la bardana	burdock
el barrigón	"pot belly, paunch, gut"
*** 3581 - 3590 (/course/195614/spanish-nouns-5/359/)	
el bíter	bitters
el blastema	blastema
el bocín	Bocin
la bollera	dyke
la cabezona	bighead
el calabrote	hawser
el canalículo	canaliculus
el cangrejito	little crab
el cangro	CanGro
la canturía	bass motion
*** 3591 - 3600 (/course/195614/spanish-nouns-5/360/)	
la caponera	caponier
el cardán	cardan
el careto	fronted
el cariblanca	Barnacle
el castrador	castrating
la catilinaria	diatribe
la caucásica	caucasian
la cavernosidad	hollowness
la centinodia	knotweed
(el)(la) cerealista	cereal
*** 3601 - 3610 (/course/195614/spanish-nouns-5/361/)	
el cesamiento	stopping
el chadiano	Chadian
el charlador	"cackler, creeper"
la charleta	Charlet
la chinchona	Peruvian bark
el chipirón	"European squid, baby cuttlefish"
el chirumen	nous
la choricera	Choricera
la chuletita	Chuletita
la cicatera	stingy
*** 3611 - 3620 (/course/195614/spanish-nouns-5/362/)	
el ciclamen	cyclamen
el ciclamor	redbud
el ciclorama	cyclorama
la cimarrona	Maroon
el cirineo	Cyrene
la citogenética	cytogenetic
la cítola	citole
el claretiano	Claretian
el clarión	clarion
la cleta	cle
*** 3631 - 3640 (/course/195614/spanish-nouns-5/363/)	
(el)(la) congregacionista	Congregationalist
el contuso	blunt
el coronal	coronal
la corsetera	corset
la cucheta	bunk
la cuculla	Cuculla
el curalotodo	cure-all
el dacrón	Dacron
la demagógica	demagogic
la denominadora	Denominator
*** 3641 - 3650 (/course/195614/spanish-nouns-5/364/)	
el derrubio	scouring
el desecador	desiccator
el desesperanzador	hopeless
el desfavor	disfavor
el desfibrado	defiberized
el deslucimiento	dinginess
el desmadejamiento	unraveling
la desmagnetización	demagnetization
(el)(la) desnudista	stripper
la desolladora	hide-puller
*** 3621 - 3630 (/course/195614/spanish-nouns-5/365/)	
el clíper	clipper
el cocó	coconut
el cohetero	rocketeer
la coladura	"straining, seepage, faux pas"
la colapez	isinglass
el cólquico	autumn crocus
el combinador	combiner
el comilón	greedy person
el compadraje	cronyism
el comparendo	"subpoena, summons"
*** 3651 - 3660 (/course/195614/spanish-nouns-5/366/)	
la destructibilidad	destructibility
(el)(la) desviacionista	deviant
el detenedor	retainer
la dinamia	dynamics
la discrasia	dyscrasia
el disector	dissector
el dodecágono	dodecagon
el dolmán	Dolman
la domínica	Dominica
la dragontea	snakeroot
*** 3661 - 3670 (/course/195614/spanish-nouns-5/367/)	
(el)(la) droguista	"druggist, dope fiend"
la duerna	Duerna
el dulcémele	dulcimer
el duunvirato	duumvirate
el duunviro	duumvir
la ecocardiografía	echocardiography
la ectomorfia	ectomorphy
la ejecutora	executrix
el electromiograma	electromyogram
la embolada	stroke
*** 3671 - 3680 (/course/195614/spanish-nouns-5/368/)	
la embriogenia	embryogenesis
la encalladura	"stranding, running around"
el enriado	retted
el entonamiento	attunement
el entontecimiento	stultification
el entretejimiento	interweaving
la entrevía	"gauge, gage"
el entristecimiento	saddening
el episcopalismo	episcopacy
la escenógrafa	set designer
*** 3701 - 3710 (/course/195614/spanish-nouns-5/369/)	
el fusor	fuser
el garduño	sneak thief
(el)(la) gazuza	Gazuza
el gingko	ginkgo
la glotona	gluttonous
el golfín	Golfín
la golpeadora	striker
el granulocito	granulocyte
el grátil	luff
el guardasol	sunshade
*** 3681 - 3690 (/course/195614/spanish-nouns-5/370/)	
el escogimiento	culling
el espejeo	sheen
la esponjosidad	sponginess
el esportón	large basket
la estibina	stibnite
el estroboscopio	stroboscope
(el)(la) excanciller	former Foreign Minister
el excitador	exciter
la exesposa	ex-wife
la expendedora	"retailer, dealer"
*** 3691 - 3700 (/course/195614/spanish-nouns-5/371/)	
(el)(la) expolicía	ex-cop
el fabriquero	churchwarden
la felpilla	chenille
el fermentador	fermenter
la filfa	"canard, hoax"
(el)(la) filocomunista	pro-Communist
la fotoluminiscencia	photoluminescence
el frenólogo	phrenologist
la frigia	Phrygia
la frigoría	frigorie
*** 3711 - 3720 (/course/195614/spanish-nouns-5/372/)	
la guayabera	"loose shirt, guayabera"
la guindola	boatswain's chair
el hamburgués	Hamburg
la harpillera	"sacking, bagging"
la hedentina	stench
la hemorroísa	hemorrhage
la hidromancia	hydromancy
la hielera	"cool box, cooler"
la hipercapnia	hypercapnia
la hipoclorhidria	hypochlorhydria
*** 3731 - 3740 (/course/195614/spanish-nouns-5/373/)	
la inepta	inept
la infrecuencia	infrequency
el injertador	grafting
(el)(la) interiorista	interior
el jambaje	platband
el japón	Japan
el jimio	jimp
la jindama	funk
el kilohercio	kilohertz
el latitudinarismo	latitudinarianism
*** 3721 - 3730 (/course/195614/spanish-nouns-5/374/)	
el hiposulfito	hyposulphite
la hispanofilia	hispanophilia
la horcajadura	"crotch, fork"
el horcajo	"fork, yoke"
la hornaza	furnace
el ictiosauro	ichthyosaurus
la indefectibilidad	indefectibility
(el)(la) indicante	the indexing
la indivisa	undivided
la indochina	IndoChina
*** 3741 - 3750 (/course/195614/spanish-nouns-5/375/)	
el lavaje	Wash
el lebrijano	Lebrija
el legador	bequeather
la lionesa	Lyon
el listel	listello
la lítote	understatement
la llavera	wardess
el lobatón	Lobaton
el lulismo	Lullism
el lunario	lunary
*** 3751 - 3760 (/course/195614/spanish-nouns-5/376/)	
la luteína	lutein
la magrura	leanness
el magullamiento	bruising
el majá	pounder
la malagueta	allspice
la malasia	Malaysia
la maniquea	Manichean
el marión	Marion
el marrubio	horehound
la mayorazga	Mayorazga
*** 3761 - 3770 (/course/195614/spanish-nouns-5/377/)	
la mazada	buttermilk
(el)(la) memorista	memoirist
la metamatemática	metamathematics
(el)(la) mierdecilla	little shit
el miradero	vantage point
el mistagogo	mystagogue
el moqueo	runny nose
el morellano	Morella
el morfinismo	morphinism
la morquera	Morquera
*** 3771 - 3780 (/course/195614/spanish-nouns-5/378/)	
el mosconeo	droning
la mundología	savoir vivre
el muradal	Muradal
el musicógrafo	musicographer
el narigón	conk
la nasalidad	nasality
la neumática	pneumatics
la neurita	neurite
el neuroepitelio	neuroepithelium
la nictalopía	nyctalopia
*** 3781 - 3790 (/course/195614/spanish-nouns-5/379/)	
(el)(la) nororiental	Northeast
la numerosidad	numerosity
la ocultadora	concealing
el ocultador	"concealer, conspirator"
el oligoceno	Oligocene
la opalescencia	opalescence
(el)(la) osteópata	osteopath
la ostricultura	ostreiculture
la paidología	pedology
el pajarero	shinned
*** 3791 - 3800 (/course/195614/spanish-nouns-5/380/)	
la palamenta	Palamenta
el palpador	probe
el pancho	"paunch, belly, potbelly"
la pánfila	Panfilo
el pano	"cloth, towel"
el pantalonero	trouser
el paráclito	Paraclete
el paralizador	paralyser
el parro	parish
la partecita	small part
*** 3801 - 3810 (/course/195614/spanish-nouns-5/381/)	
(el)(la) pasota	person who couldn't care less
la paulina	Pauline
la payasa	"clown, buffoon, joker"
el pedorreo	farting
el pegado	band-aid
la peinada	combing
el percherón	"percheron, shire horse"
el perfeccionador	perfecter
el peripato	Peripato
el permitidor	enabler
*** 3811 - 3820 (/course/195614/spanish-nouns-5/382/)	
el petifoque	flying jib
el picogordo	hawfinch
el pincelito	flat
la piorrea	"pyorrhoea, pyorrhea"
la pirausta	Borer
el pistachero	"pistachio, pistache"
el planchazo	howler
la plastia	plasty
el plioceno	Pliocene
el pluscuamperfecto	"pluperfect, past perfect"
*** 3831 - 3840 (/course/195614/spanish-nouns-5/383/)	
la probabilística	probabilistic
el pródromo	prodrome
la profanadora	defiler
la proterva	wanton
la psicodinámica	psychodynamic
el quelato	chelate
la quisquillosidad	nitpicking
el quitador	remover
la rabera	tang
el rabinismo	rabbinism
*** 3821 - 3830 (/course/195614/spanish-nouns-5/384/)	
la podadora	lawn-mower
la podagra	podagra
el polisario	Polisario
la pomología	pomology
el pordioseo	begging
la portabandera	flagman
el porteo	portage
la posesora	possessor
el premiador	Rewarder
la prensadora	"press, pressing machine"
*** 3851 - 3860 (/course/195614/spanish-nouns-5/385/)	
el regularizador	regularizing
la remanga	rolls up
(el)(la) requirente	requesting
el resolutivo	operative
la respingona	snub
la retardadora	retardant
la retrógrada	retrograde
el retroproyector	overhead projector
la revesa	Revesa
el rezumo	oozing
*** 3861 - 3870 (/course/195614/spanish-nouns-5/386/)	
la ricahembra	Ricahembra
la rimbombancia	"bombast, flamboyance, flamboyancy"
la rinconera	"corner table, corner unit"
el ring	ring
el rodador	wheeler
(el)(la) rotulista	signwriter
la ruedecita	small wheel
la sabanilla	"piece of cloth, altar cloth"
el sacho	weeding hoe
la saladura	salting
*** 3841 - 3850 (/course/195614/spanish-nouns-5/387/)	
la raciocinación	ratiocination
la rajada	cracked
la ramilletera	flower girl
el ramoneo	browse
(el)(la) rapista	rapist
la ratera	"pickpocket, sneak thief, filcher"
el raticida	rat poison
la reculada	"backward movement, recoil, retreat"
(el)(la) reduccionista	reductionist
el regalador	gift-giver
*** 3871 - 3880 (/course/195614/spanish-nouns-5/388/)	
el salsifí	salsify
la sardinera	sardine
la sarnosa	mangy
el sesteo	siesta
el sextario	hin
la sienita	syenite
la siestita	nap
el silguero	Silguero
el sinergismo	synergism
el sobrenaturalismo	supernaturalism
*** 3881 - 3890 (/course/195614/spanish-nouns-5/389/)	
el sobrepuesto	appliqué
el solador	tiler
el solárium	solarium
el subalcaide	Assistant Warden
(el)(la) subjetivista	subjectivist
el suspensorio	jockstrap
el tacaño	"piker, miser, skinflint"
el tartajeo	stutter
la tarusa	Tarusa
la tempestividad	timeliness
*** 3891 - 3900 (/course/195614/spanish-nouns-5/390/)	
la tensón	Tenson
el termosifón	thermosyphon
la terpsícore	terpsichore
la tetraplejía	tetraplegia
el tetrápodo	tetrapod
el timol	thymol
el timonero	steersman
la tobillera	ankle support
el tocinero	pork butcher
la tofana	Tofana
*** 3901 - 3910 (/course/195614/spanish-nouns-5/391/)	
la tordella	Fieldfare
el tragador	swallower
el tramador	framer
la trapacera	tricky
(el)(la) trapisondista	"intriguer, fiddler"
la traquita	trachyte
el trasudado	transudate
el travelín	dolly
el trecén	Troezen
la tremolita	tremolite
*** 3911 - 3920 (/course/195614/spanish-nouns-5/392/)	
la tromboembolia	thromboembolism
el tropico	tropic
la trovera	Trovera
la tutía	Tuti
el urato	urate
el vacunador	vaccinator
el velarte	broadcloth
el ventalle	fanning
el ventanaje	windows
la verdasca	Verdasca
*** 3921 - 3930 (/course/195614/spanish-nouns-5/393/)	
la vilorta	lacrosse
el virólogo	virologist
la vituperadora	vituperative
la vocinglera	vociferous
el vocinglero	roarer
el zamarreo	shaking of
el zaparrastroso	scruffy
la zapatera	"shoemaker, cobbler"
el zoófito	zoophyte
la zurdera	left-handedness
*** 3941 - 3950 (/course/195614/spanish-nouns-5/394/)	
las alcohólicas	alcoholic
la alantoides	allantois
las amarantáceas	Amaranthaceae
los amazónicos	Amazon
la angiosperma	angiosperm
(el)(la) anexionista	annexationist
los antozoos	anthozoans
(el)(la) antifascista	anti-fascist
(los)(las) antifranquistas	antifrancoist
los antisueros	antisera
*** 3931 - 3940 (/course/195614/spanish-nouns-5/395/)	
el binóculo	prince-nez
el mariscador	gatherer of fish
la limonera	lemon tree
el acantocéfalo	acanthocephalan
los adoptadores	adopters
el ringorrango	"adornment, flourish"
el herrete	"aglet, tag"
los agnatos	agnates
el ambientador	air freshener
la aerovía	"airway, air route"
*** 3951 - 3960 (/course/195614/spanish-nouns-5/396/)	
el apoteósis	apotheosis
el manzanar	Apple Orchard
las arborescencias	arborescences
el reposabrazos	armrest
los ascomicetes	ascomycetes
los asistidos	assisted
los astrógrafos	astrographs
el respetable	audience
la autocatálisis	autocatalysis
las andaderas	baby-walker
*** 4021 - 4030 (/course/195614/spanish-nouns-5/397/)	
la psicofonía	EVP
la escoriación	excoriation
el fulminante	"explosive, squib"
el encadenado	"fading, dissolve"
los faliscos	Faliscans
los masoveros	farmers'
los pinreles	feet bare
los consiervos	fellow servants
las virolas	ferrules
el fiduciario	"fiduciary, trustee, executor"
*** 3981 - 3990 (/course/195614/spanish-nouns-5/398/)	
las calderadas	cauldronfuls
la celinda	Celinda
los centigramos	"centigram, centigramme"
la cinceladura	chiselling
la condritis	chondritis
las cromolitografías	chromolithographs
los crisopacios	chrysoprases
los cachuelos	chub
el aplaudidor	clapper
la azotalenguas	cleavers
*** 3991 - 4000 (/course/195614/spanish-nouns-5/399/)	
los celentéreos	coelenterates
los colúbridos	colubrids
(el)(la) connacional	compatriot
la lentilla	"contact lens, contact"
las copiadoras	copiers
los mastuerzos	"cress, dolt, dope"
el criptozoólogo	cryptozoologist
los ctenóforos	ctenophores
los culícidos	Culicidae
las salivaderas	cuspidors
*** 4001 - 4010 (/course/195614/spanish-nouns-5/400/)	
las aduaneras	customs
la ciclosis	cyclosis
los ciclóstomos	cyclostomes
los ciprínidos	cyprinids
la checa	"Czech, Cheka, secret police headquarters"
el decápodo	decapod
la dionisia	denise
la cajilla	deposit box
el discante	descant
la diatomea	diatom
*** 3961 - 3970 (/course/195614/spanish-nouns-5/401/)	
los comanditarios	backers
(el)(la) balear	"Balearic, Balearic Catalan"
el barnacla	barnacle
el baudio	baud
los crisomélidos	beetles
los chorreados	blasted
la moscarda	blow-fly
los zalameros	bootlicker
las bostonianas	Bostonians
las tornapuntas	braces
*** 4041 - 4050 (/course/195614/spanish-nouns-5/402/)	
los gádidos	gadoids
(el)(la) troj	garner
el acoplado	"gate crasher, crasher, camper"
el entretenido	"gigolo, toyboy"
la chismosa	"gossip, rumormonger, gossiping"
los arpeos	grapples
las alambreras	gratings
los urdidos	hatched
las hebdómadas	"hebdomad, week"
el helióstato	heliostat
*** 4011 - 4020 (/course/195614/spanish-nouns-5/403/)	
el digestor	digester
el desorganizador	disruptive
los tergiversadores	distorters
la descreencia	distrust
los azarbes	ditches
los vaguidos	dizzy spells
la dríada	dryad
la enchilada	enchilada
el epitelioma	epithelioma
los etesios	Etesian
*** 4091 - 4100 (/course/195614/spanish-nouns-5/404/)	
los miqueletes	Miqueletes
el descalce	mismatch
los maltratamientos	mistreatments
el mohicano	Mohicans
la monocotiledónea	monocot
(los)(las) monogenistas	monogenists
(el)(la) montanista	Montanist
las moráceas	Moraceae
el moreral	Moreral
los montaneros	mountaineers
*** 3971 - 3980 (/course/195614/spanish-nouns-5/405/)	
los braquicéfalos	brachycephalic
los bulímicos	bulimic
los bosquimanes	Bushmen
los entremetidos	busybodies
la callosidad	callosity
la campánula	"campanula, Canterbury bells, harebell"
las candeleras	candlesticks
las canonesas	canonesses
las cariofiláceas	cariophilaceous
los acarreadores	carriers
*** 4051 - 4060 (/course/195614/spanish-nouns-5/406/)	
el hemofílico	"hemophiliac, haemophiliac, bleeder"
los herbajes	HERBAJES
(el)(la) hermeneuta	hermeneut
(el)(la) hinduista	Hindu
(los)(las) hispanoárabes	Hispano
(el)(la) historicista	historicist
la malvarrosa	hollyhock
las holoturias	holothurians
los ganchitos	hooks
los fogajes	hot flashes
*** 4071 - 4080 (/course/195614/spanish-nouns-5/407/)	
(el)(la) judaizante	Judaist
los lacértidos	lacertids
(los)(las) laodicenses	Laodiceans
las lauráceas	lauraceae
los lavajos	Lavajos
la lanteja	Lenticular
las ligaciones	ligations
los gabarreros	lightermen
el calero	liming
las lináceas	Linaceae
*** 4031 - 4040 (/course/195614/spanish-nouns-5/408/)	
las filminas	filmstrips
la pínula	finlet
la grasera	fitting
las fijadoras	fixing
la convecina	flatmate
los flageladores	floggers
la plumada	"flourish, dash"
el trematodo	fluke
los esmerilados	frosted
el futón	futon
*** 4111 - 4120 (/course/195614/spanish-nouns-5/409/)	
los neuromas	neuroma
la neurosífilis	neurosyphilis
el tirado	no-hoper
el norcoreano	North Korean
los entumidos	numb
(el)(la) orangista	Orangeman
(los)(las) organicistas	organismic
(los)(las) origenistas	Origenists
(los)(las) paneslavistas	Panslavists
(el)(la) papista	papist
*** 4081 - 4090 (/course/195614/spanish-nouns-5/410/)	
los lorquinos	Lorca
(el)(la) lucense	Lugo
el lupino	lupine
los linchadores	lynchers
las queresas	maggots
la marinada	marinade
las meliáceas	Meliaceae
el mendocino	Mendoza
el esmerejón	merlin
(los)(las) microscopistas	microscopists
*** 4121 - 4130 (/course/195614/spanish-nouns-5/411/)	
el bajalato	pashalic
las pasifloráceas	Pasifloráceas
los pasamaneros	passementerie
los peroneos	peroneal
el enchufado	"person with pull, well-connected person, good old boy"
el peruanismo	Peruvianism
los pervertidores	perverting
(los)(las) petrarquistas	Petrarchan
(los)(las) filatelistas	philatelists
la fotolisis	photolysis
*** 4061 - 4070 (/course/195614/spanish-nouns-5/412/)	
el vociferador	Howler
los ictéridos	icterids
la analfabeta	illiterate
el ilirio	Illyrian
la indoeuropea	Indo-European
las interruptoras	interruptive
las isobaras	isobars
los italoamericanos	Italian Americans
la aguamala	jellyfish
la palanqueta	"jimmy, jemmy"
*** 4101 - 4110 (/course/195614/spanish-nouns-5/413/)	
el mullidor	mulcher
los mulateros	muleteers
la micobacteria	mycobacterial
la miositis	myositis
los misidáceos	mysids
los mixomicetes	myxomycetes
el nanoplancton	nanoplankton
las níspolas	naseberry
el nemertino	nemertean
la neura	Neuro
*** 4131 - 4140 (/course/195614/spanish-nouns-5/414/)	
las picias	Picias
las cochiqueras	pigsties
las echadas	pitches
los plantígrados	plantigrade
los emplastes	plasters
el desvalijador	Plunderer
(los)(las) poligenistas	polygenists
la polimiositis	polymyositis
las polipodiáceas	Polypodiaceae
el portalibros	Portalibros
*** 4141 - 4150 (/course/195614/spanish-nouns-5/415/)	
las preselecciones	presets
las primuláceas	primulaceae
el berrendo	pronghorn
el mojigato	"prude, prig, hypocrite"
los cuadernales	pulley
las cuartanas	quartan
el minutito	quick minute
(el)(la) transformista	quick-change artist
las radiotransmisiones	radio transmissions
los trasquilones	raggedly
*** 4151 - 4160 (/course/195614/spanish-nouns-5/416/)	
la semirrecta	ray
las saqueadoras	reavers
el radiorreceptor	"receiver, radioreceiver"
las rehalas	Rehal
el reimplante	reimplantation
el retocador	retoucher
los reóstatos	rheostats
los ribagorzanos	Ribagorza
los hurtadores	robbers
el rodelero	Rodelero
*** 4181 - 4190 (/course/195614/spanish-nouns-5/417/)	
el réflex	SLR
los ablandadores	softeners
la matadura	"sore, gall"
los atravesadores	spanners
el chispero	spark plug
el papelero	stationer
los esterilizadores	sterilizers
los fresales	strawberry plants
los subarrendadores	subletters
los subarrendatarios	subtenants
*** 4161 - 4170 (/course/195614/spanish-nouns-5/418/)	
la pitiriasis	rosea
la serba	"rowanberry, rowan, sorb"
el ruteno	Ruthenian
las roderas	ruts
el sabeo	"Sabaean, Sabean"
el portapliegos	sabretache
los samarios	samarium
las sapindáceas	Sapindaceae
el aserrado	sawing
los dispersores	scatterers
*** 4171 - 4180 (/course/195614/spanish-nouns-5/419/)	
la cuchar	Scoop
(los)(las) escotistas	Scotists
los cogedores	Scraping
(el)(la) semita	Semite
(los)(las) sensualistas	sensualist
los establecedores	setters
la filosa	sharp
el pocero	"sinker, pitman"
el salmer	skew
los mapurites	skunks
*** 4191 - 4200 (/course/195614/spanish-nouns-5/420/)	
los azufrados	sulfur
el supermodelo	supermodel
el superfosfato	superphosphate
el suplantador	supplanter
los tablares	Tablares
los tálpidos	talpids
el taraje	tare
los empajados	thatched
(los)(las) tercermundistas	Third
el cicatero	"tightwad, miser"
*** 4201 - 4210 (/course/195614/spanish-nouns-5/421/)	
los enmaderados	timbered
los bufónidos	toads
los tolmos	Tolmos
las tupayas	treeshrews
la llana	trowel
los colmillazos	tusks
el tirolés	Tyrolean
las úes	UES
la última	ultima
el trastornador	upsetting
*** 4211 - 4219 (/course/195614/spanish-nouns-5/422/)	
los varánidos	varanids
los varsovianos	Varsovians
el vivérrido	viverid
los caminadores	walkers
los anátidos	waterfowl
el yerbajo	weed
los casquivanos	whipper-snapper
los monteses	wildcats
los manojitos	wisps
