*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
γνωστός	"known, intelligible; subst.: friend (to + gen. or dat.)"
γυμνός	naked
ἡ Δαμασκός	Damascus
δέρω	"to beat, skin, flay"
*** 776 - 800 (/course/66563/koine-greek-3/32/)	
ὁ δεσμός	"bond, chain, imprisonment"
διαμαρτύρομαι	"to testify, declare solemnly"
εἶτα	"then, next"
ἡ ἐλαία	"olive, olive tree"
ἐντέλλω	to command
ἐπαγγέλλομαι	"to promise, to profess"
ἡ εὐσέβεια	"godliness, piety; religion"
ἡ εὐχαριστία	"thanksgiving, thankfulness; eucharist"
ὁ θεμέλιος	foundation
ἡ θρίξ	"hair, thread"
ὁ Ἰορδάνης	Jordan
καταλαμβάνω	"to take, overtake, reach"
ὁ κληρονόμος	heir
κτίζω	"to create, build, found"
ὁ Λάζαρος	Lazarus
ὁ λῃστής	"robber, bandit; insurrectionist"
λοιπός	"rest, remaining, other; from now on, finally"
μοιχεύω	to commit adultery
νομίζω	"to think, suppose"
ξηραίνω	to dry up
ἡ οἰκουμένη	world
ὁμοιόω	to make like
ἡ ὀψία	evening
παύω	"to cease, stop"
πέραν	"(+gen) beyond, across"
*** 801 - 825 (/course/66563/koine-greek-3/33/)	
ἡ πέτρα	rock
ποτίζω	to give a drink
προλέγω	to say ahead of time; foretell
πώς	"somehow, in some way"
ῥαββί	Rabbi (Heb. my teacher)
σαλεύω	to shake
ὁ Σαῦλος	Saul
τὸ σκάνδαλον	"offense, cause of sin"
συμφέρω	"to be better, bring together"
σφραγίζω	to seal
ταχέως	"quickly, soon"
ἡ τράπεζα	table
ὁ τύπος	"image, pattern, example, sign"
ἡ ὑπακοή	obedience
ὁ χόρτος	grass
ὠφελέω	"to gain, to benefit"
ἡ ἄκανθα	thorns
ἀλλότριος	"strange, foreign, stranger, belonging to another"
ἀμφότεροι	both; all
ἀναγγέλλω	"to report, announce, recount"
ἀνάκειμαι	"to sit at table, recline at table"
ἀναχωρέω	"to go back, depart"
ἀνθίστημι	"to resist, oppose"
ἅπαξ	"once, once for all"
ἀπειθέω	"to disbelieve, disobey"
*** 826 - 850 (/course/66563/koine-greek-3/34/)	
ἁρπάζω	to snatch away
ἀτενίζω	to look steadfastly
αὔριον	tomorrow
ἀφίστημι	"to withdraw, remove, depart, leave"
τὸ γράμμα	character; letter (of alphabet); epistle
ὁ διαλογισμός	"thought, opinion, discussion"
ἕκτος	sixth
ἐλάχιστος	least
ὁ ἐνιαυτός	"year; cycle, period"
ἐπίσταμαι	to know
εὐφραίνω	"to cheer, to rejoice"
ὁ ζῆλος	zeal; jealousy
θύω	"to sacrifice, murder"
κατανοέω	"to understand, consider"
κατεσθίω	to devour
κλάω	to break
ἡ κληρονομία	inheritance
κοινός	"common; common assembly; the state, commonwealth (n.)"
κοινόω	to make common; communicate; defile; have intercourse
κωφός	"speechless, deaf"
ὁ λύχνος	lamp
μακρόθεν	"far off, from afar"
ἡ μακροθυμία	"patience, endurance"
μερίζω	"to divide, distribute"
τὸ μέτρον	"measurement, dimension; poetic meter"
*** 851 - 875 (/course/66563/koine-greek-3/35/)	
τὸ μύρον	ointment
νήπιος	child
νοέω	to understand
ξένος	stranger; strange
οἷος	"such as, as; (adv) for instance"
ὁ ὄφις	snake
ἡ παρθένος	virgin
περισσός	"more, remaining, excessive, to the full"
τὸ πετεινόν	bird
ὁ πλοῦτος	riches
προςδέχομαι	to receive; wait for
ὁ Σαδδουκαῖος	Zadokite; Sadducee
ὁ σεισμός	"shake, earthquake; shakedown (extortion)"
ὁ σῖτος	grain
τὸ τάλαντον	talent
ταπεινόω	"to humble, humiliate"
φρόνιμος	wise
ἡ φύσις	nature
χωλός	crippled
ἀναλαμβάνω	"to take up, raise, undertake"
ἡ ἀναστροφή	"way of life, lifestyle"
ὁ Ἀνδρέας	Andrew
ἄνωθεν	"from above, again"
δαιμονίζομαι	"to be demon possessed, demonized"
διαλέγομαι	"to dispute, discuss"
*** 876 - 900 (/course/66563/koine-greek-3/36/)	
διαφέρω	"to be better, to differ, spread, carry over"
ὁ δράκων	dragon; giant serpent
ἐκπλήσσω	to be amazed
ἡ ἐλεημοςύνη	"pity, alms"
ἐμπαίζω	to mock
ἕξ	six
ἐξαποςτέλλω	"to send away, send forth, destroy"
ἐπιζητέω	to seek after
ἡ ζύμη	"yeast, leaven"
ὁ θερισμός	harvest
καθάπερ	"as, just as, like"
ὁ καπνός	smoke
καταισχύνω	"to shame, dishonor, be ashamed"
καταντάω	"to come, arrive"
καταρτίζω	"to mend, restore, create, strengthen"
κλέπτω	to steal
ἡ Μάρθα	Martha
ὁ Ναζωραῖος	Nazarene
παιδεύω	"to instruct, discipline"
ἡ παιδίσκη	young woman; slave-girl
ἡ παράδοςις	deliverance; tradition
πρίν	before; (adv) formerly
στηρίζω	"to support, make firm, strengthen"
συνεργός	helping; fellow worker
τίμιος	"precious, rare; honorable"
*** 901 - 925 (/course/66563/koine-greek-3/37/)	
ὁ Τίτος	Titus
ὁ τρόπος	"way, manner; customs, kind of life, deportment"
τύπτω	"to strike, beat"
ὕψιστος	highest; most high; Most High
ὁ Φῆστος	Festus
χωρίζω	to remove; to depart
ἄδικος	unjust; unrighteous
ὁ ἀλέκτωρ	"rooster, cock"
ἀνά	"up, upon, on; (adv.) thereupon; each, apiece"
ἀναπαύω	"to stop, rest, refresh; to die"
ἀναπίπτω	"to  fall down, recline, sit down"
ὁ ἀσκός	"wineskin, leather bag"
ἡ αὐλή	"courtyard, court"
ἡ Βαβυλών	Babylon
ὁ βαπτιστής	"washer, baptizer, Baptist"
βασανίζω	"to torment, torture"
ἡ Βηθανία	Bethany
τὸ βῆμα	"step, platform, judgment seat"
βοάω	to cry out
ἡ βουλή	"counsel; council, senate"
ἡ βροντή	thunder
ἡ γέεννα	"hell, Gehenna"
τὸ γόνυ	knee
δεῦτε	"come! come, now!"
ἡ διάνοια	"mind, thought, intention"
*** 926 - 950 (/course/66563/koine-greek-3/38/)	
τὸ δίκτυον	net; lattice
τὸ ἔθος	"custom, habit"
ἐμβλέπω	to gaze at the face; to consider
ἐξάγω	"to lead away, bring out"
ἔσωθεν	"within, inside, from within"
ὁ Ζεβεδαῖος	Zebedee
ὁ κάλαμος	reed
κατακαίω	"to burn up, consume"
κατάκειμαι	to lie down
κολλάω	"to glue, to join to"
τὸ κράτος	"power, might"
λίαν	exceedingly
ἡ λυχνία	"lampstand, candlestick"
ἡ Μαγδαληνή	Magdalene
μάλιστα	"especially, exceedingly"
μεταβαίνω	"to turn, enter, depart"
μωρός	foolish
ἡ Ναζαρά	Nazareth
ὁ ὀδούς	tooth
ὁ οἰκοδεσπότης	householder
τὸ ὅραμα	vision; sight
τὸ ὅριον	"border, coast, domain, limit"
παραιτέομαι	to ask; to refuse
περισσοτέρως	even more so
πιάζω	to seize
*** 951 - 975 (/course/66563/koine-greek-3/39/)	
πληθύνω	to multiply
πλουτέω	to be rich
ἡ πόρνη	prostitute
ἡ πρόθεσις	"setting forth, offering; purpose"
προςλαμβάνω	"to increase; to receive, accept"
πρωΐ	in the morning
πυνθάνομαι	to inquire
ὁ πῶλος	colt
ἡ ῥάβδος	"stick, staff, scepter"
Ῥωμαῖος	Roman
σαλπίζω	to sound the trumpet
ὁ Σιλᾶς	Silas
ὁ Σολομών	Solomon
σπλαγχνίζομαι	to have compassion
ἡ σπουδή	haste; speed; zeal; pursuit; exertion
συνέχω	"to surround, control, constrain"
ταχύς	"swift, quickly, soon"
τρίς	three times
τυγχάνω	to obtain; to happen; to hit upon
ὑγιαίνω	"to be healthy, be sound"
ἡ φιάλη	bowl
φονεύω	to murder
ὁ χοῖρος	pig
τὸ χρυσίον	"gold, golden"
ψεύδομαι	to lie
*** 976 - 1000 (/course/66563/koine-greek-3/40/)	
ἀγαλλιάω	"to exult, rejoice"
ἡ ἀγορά	market
ὁ Ἀγρίππας	Agrippa
ἡ ἅλυσις	chain
ὁ Ἁνανίας	"Ananias, Hananiah, Hanani, Hanan"
ἡ ἀνατολή	"east, sunrise"
ἀντιλέγω	"to speak in response, speak against; deny"
ἀπαρνέομαι	"to deny, renounce"
ἡ ἀπιστία	unbelief
ἀρχαῖος	"old, ancient"
ἄφρων	foolish
ὁ Βαραββᾶς	Barabbas
ἡ βρῶσις	"food, eating, rust"
Γαλιλαῖος	Galilean
γέμω	to be full
διαμερίζω	to divide
ὁ δόλος	deceit
ἡ δωρεά	"gift, bounty; grant"
ἐάω	"to permit, pass over"
ἐγγύς	(+gen) near
τὸ εἴδωλον	"false god, idol; ghost, phantom"
εἴκοςι	twenty
εἰσάγω	to bring in
ἐκχύννω	to pour out
τὸ ἔλαιον	olive oil
*** 1001 - 1025 (/course/66563/koine-greek-3/41/)	
ἡ ἐλευθερία	freedom
ἐνδείκνυμι	"to show forth, exhibit"
ἐξουθενέω	to despise
ἔξωθεν	"(+gen) from outside, outside"
ὁ ἔπαινος	praise
ἐπαισχύνομαι	to be ashamed
ἐπιπίπτω	"to fall, fall upon, attack"
ἐπισκέπτομαι	"to visit, care for"
ὁ Ζαχαρίας	"Zechariah, Zecharias"
ζηλόω	to be zealous; to be jealous
ζῳοποιέω	"to make alive, keep alive"
θανατόω	to put to death
θάπτω	to bury
ὁ Θωμᾶς	Thomas
ὁ Ἰσκαριώθ	Iscariot
καίω	"to burn, kindle, light"
ἡ κακία	"evil, trouble"
ἡ καταβολή	"foundation, building, structure"
κατασκευάζω	"to prepare, construct, build, create"
τὸ καύχημα	"object of boasting, pride"
ἡ καύχησις	"boasting, pride"
τὸ κέρας	"horn; (army) wing, flank"
ὁ κλάδος	branch
ὁ κλῆρος	"lot, portion; clergy"
ἡ κλῆσις	calling
*** 1026 - 1050 (/course/66563/koine-greek-3/42/)	
ὁ κράβαττος	"bed, cot"
ἡ λίμνη	lake
μετρέω	to measure
ὁ νεανίσκος	young man
ἡ νόσος	disease
ὁμοθυμαδόν	of one accord
ἡ πηγή	water spring
ποιμαίνω	"to shepherd, feed"
τὸ πρᾶγμα	"thing, deed"
ἡ πραΰτης	gentleness
ἡ σάλπιγξ	trumpet
ἡ Σαμάρεια	Samaria
τὸ σπλάγχνον	"entrails, heart, affection"
σπουδάζω	"to do one’s best; to hasten, labor over"
συγγενής	"relative, kin"
σφόδρα	very much
σχίζω	to split
τελευτάω	to die
τριάκοντα	thirty
ἡ Τύρος	Tyre
ὑγιής	"whole, healthy"
ὑμέτερος	your (pl.)
ὑποκάτω	"(+gen) under, beneath"
ὕστερος	"afterwards, last, later"
ὑψηλός	"high, proud"
*** 1051 - 1075 (/course/66563/koine-greek-3/43/)	
φυτεύω	to plant
φωτίζω	to give light
χείρων	worse
χίλιοι	thousand
ὁ χιτών	"tunic, shirt"
χράομαι	"to use; to warn, declare"
ὁ ψευδοπροφήτης	false prophet
ὁ ἁγιασμός	holiness
ὁ ᾅδης	Hades (Pluto)
ἀδύνατος	"unable, impossible; powerless; indissoluble"
ἡ ἀκαθαρσία	uncleanness
ἀναφέρω	"to bring up, back raise up, bear, pay, add to, offer up"
ἀπολαμβάνω	to receive
ὁ Ἀπολλῶς	Apollos
ἀπολογέομαι	to defend oneself
ἡ ἀπολύτρωσις	"redemption, release"
ἡ ἀσέλγεια	sensuality
ὁ ἀσπασμός	greeting
ἀφαιρέω	"to seize, to take away; cut off"
ἀφορίζω	"to separate, divide"
ἡ Ἀχαΐα	Achaia
ἡ βίβλος	"scroll, book, record"
ὁ βίος	life
τὸ δάκρυον	teardrop
ὁ δεσπότης	"master, lord, slaveowner"
*** 1076 - 1100 (/course/66563/koine-greek-3/44/)	
τὸ δικαίωμα	"ordinance, requirement, righteousness"
ὁ διωγμός	persecution
ἐγκαταλείπω	"to leave behind, desert, forsake"
ἐκκόπτω	"to cut off, cut down, destroy"
ἐκπίπτω	to fall
ἐμφανίζω	"to exhibit, manifest, explain, inform"
ἔνατος	ninth
ἔνοχος	"liable, guilty"
ἐντεῦθεν	"from here, on this side. . . on that side"
ἐξομολογέω	"to confess, admit"
ἐπειδή	"since, because, for"
ἐπιτάσσω	"to command, order"
ἐπιτελέω	"to complete, perform"
θλίβω	"to crush, compress, oppress, trouble"
ἡ Ἰόππη	Joppa
ἡ ἰσχύς	"strength, might"
κλητός	"called, invited; guest"
ὁ κοινωνός	"partaker; partner, companion"
κομίζω	"to bring, receive"
κοςμέω	"to adorn, set in order, arrange"
μακράν	"far, far off, far away"
μακροθυμέω	to be patient
μέλει	"it is a concern, it is a care"
ξενίζω	to entertain as a guest
ὅδε	"this, here; he, she, it"
*** 1101 - 1125 (/course/66563/koine-greek-3/45/)	
ὁ οἰκονόμος	"manager, steward"
ὀνομάζω	to name
ὄντως	"really, indeed"
ὁ ὅρκος	oath
ὁ παντοκράτωρ	all mighty; almighty
παράγω	to bring; to pass by
παραλυτικός	"paralytic, paralyzed"
ἡ παρεμβολή	"barracks, encampment"
πατάσσω	to strike
πενθέω	to mourn
ἡ περιστερά	"dove, pigeon"
ἡ πλάνη	error
ἡ πλεονεξία	greediness; lust
ποικίλος	many colored; various kinds
ὁ πόρνος	sexually immoral man; prostitute chaser
προςκαρτερέω	to be close at hand; to persevere in
πρότερος	"former, formerly"
ἡ πύλη	gate
σέβω	to worship
σιγάω	to be silent
σιωπάω	to be silent
στήκω	"to stand, stand firm"
ὁ στρατηγός	"captain, commander; chief magistrate"
συζητέω	"to argue, question"
ὁ σύνδουλος	fellow slave
*** 1126 - 1150 (/course/66563/koine-greek-3/46/)	
σφάζω	to slay
τέταρτος	fourth
ὑπαντάω	to meet
τὸ ὑπόδημα	"sandal, shoe"
φείδομαι	to spare
ἡ χρηστότης	kindness
ὁ χρυσός	gold
χωρέω	"to hold, to receive; to penetrate"
τὸ χωρίον	"place, field"
τὸ ψεῦδος	lie; falsehood
ὁ ψεύστης	liar
ἡ ἄβυσσος	abyss
ἀγαθοποιέω	to do good
ὁ Ἀδάμ	Adam
ἡ αἵρεσις	"faction, sect, school; heresy"
ἀκριβῶς	"diligently, precisely, accurately"
ἀλείφω	to anoint
ἡ ἄμπελος	"vine, vineyard"
ἀναγκάζω	"to compel, force"
ἀναστρέφω	"to live, conduct oneself; to return, overturn"
ἀνατέλλω	"to rise, cause to rise, to grow, spring up"
ἄνομος	lawless
ἄνω	"above, up, upper, upward"
ἡ ἀπαρχή	firstfruits
ἀποδοκιμάζω	to reject
*** 1151 - 1175 (/course/66563/koine-greek-3/47/)	
ἀποςτρέφω	to turn away
ἀποτίθημι	"to put off, away"
ἄρσην	"male, man"
ὁ ἀρχισυνάγωγος	ruler of the synagogue
ἀσεβής	ungodly
ἡ ἀστραπή	lightning
βόσκω	"to feed, graze"
ἡ γαστήρ	"stomach, womb"
ἡ γνώμη	"opinion; intent, purpose; consent"
ἡ γωνία	"corner, leader"
διασκορπίζω	"to scatter, squander"
διατρίβω	"to remain, stay"
δωρεάν	freely
ἕβδομος	seventh
εἰδωλόθυτος	(meat) offered to idols
ἡ ἐκδίκησις	vengeance
ἡ Ἐλισάβετ	Elisabeth
ἐντρέπω	"to make ashamed, respect"
ἑξήκοντα	sixty
ἐπέρχομαι	"to come upon, be at hand"
ἐπιδίδωμι	to give
ἐπιποθέω	to greatly desire
ἡ ἔρις	strife
εὐάρεστος	acceptable
ἡ εὐδοκία	"good pleasure, good will, approval; satisfaction"
*** 1176 - 1200 (/course/66563/koine-greek-3/48/)	
εὐώνυμος	left
θνῄσκω	to die
ὁ Ἰσραηλίτης	Israelite
ὁ Ἰωνᾶς	Jonah
καθαιρέω	"to take down, destroy"
ὁ Καϊάφας	Caiaphas
κατάγω	"to bring down, lead down"
ἡ κατάπαυσις	"rest, place of rest"
καταφρονέω	to despise
κάτω	"down, below, under"
τὸ κήρυγμα	"preaching, proclamation"
ὁ Κηφᾶς	Cephas (Aram. rock)
ὁ κίνδυνος	"danger, peril"
τὸ κλάσμα	fragment
ὁ κλαυθμός	"weeping, crying"
ἡ κλίνη	"bed, cot, couch"
κραυγάζω	"to call out, shout"
κρούω	to knock
ἡ λαμπάς	lamp
λαμπρός	bright; illustrious
λεπρός	"leper; leprous, scaly, scabby"
ὁ λέων	lion
λιθάζω	to stone
ὁ μαργαρίτης	pearl
μεστός	full
*** 1201 - 1225 (/course/66563/koine-greek-3/49/)	
μεταπέμπω	to send for
ἡ μνᾶ	mina (coin)
μονογενής	"only, unique"
ἡ νῆσος	island
νομικός	lawyer; trained in law
ὅθεν	"therefore, where, from where"
οἰκέω	to dwell
ἡ οἰκονομία	"management, plan"
ὀνειδίζω	to reproach
ὀπίσω	(+gen) after (prep.); back (adv.)
οὐράνιος	heavenly
παρρησιάζομαι	to speak with boldness
περίχωρος	surrounding region
πιπράσκω	to sell
ἡ πλατεῖα	"street, square"
πλεονάζω	to increase
προέρχομαι	to go before
προπέμπω	to send on one’s way
ἡ προςφορά	offering
ὁ Σαμαρίτης	Samaritan
ὁ Σαούλ	Shaul; Saul
ἡ σελήνη	moon
ἡ Σιδών	Sidon
τὸ Σόδομα	Sodom
ἡ στάσις	"standing; position; argument, riot, revolt"
*** 1226 - 1250 (/course/66563/koine-greek-3/50/)	
ἡ στολή	clothing; robe
ἡ τάξις	"order, band"
τὸ τεῖχος	wall
τρέφω	to feed
τὸ ὑστέρημα	what is lacking
ὁ Φῆλιξ	Felix
φθείρω	"to corrupt, destroy"
ὁ φθόνος	envy
ἡ φθορά	"corruption, decay"
