и	and
стрелять	to shoot (at) (в +a or по +d)
встречаться/встретиться (с +inst)	to meet (s.o.)
документ	document
мечтать (о +pr)	to (day) dream (about)
обычно	usually
продукт	product
секунда	second [unit of time]
достижение	achievement
сельскохозяйственный	agricultural
братский	"fraternal, brotherly"
странный	strange
доходить/дойти (до +g)	to reach (s.o. or sth)
мёртвый	dead
заходить/зайти (к +d)	"to call on s.o.; (за +a) go behind, set (of sun)"
могучий	powerful
представление	"presentation; performance; notion, conception"
мотор	"motor, engine"
независимость	independence [not самостоятельность]
трудность	difficulty
удовольствие	pleasure
узкий	narrow
боец	"fighter, soldier"
применение	"application, use; adaptation"
меньше	less
ночной	night (adj)
полк	regiment
обратно	back (adv)
жалко	pitifully; it’s a pity; (+g) be sorry for
опасность	danger
мечта	"dream, daydream"
отказываться/отказаться (+inf)	to refuse (to do sth); (от +g) renounce (sth)
полностью	"fully, completely"
щека	cheek
попытка	attempt
рис	rice
спокойный	calm
уголь	coal
массовый	mass (adj)
прошлое	the past
учреждение	"establishment, institution"
возраст	age
громко	loudly
дым	smoke
желание	"wish, desire"
учение	"learning, study, instruction"
забота	"care, trouble"
использование	utilization
красота	beauty
трава	grass; herb
мощный	powerful
постепенно	gradually
улучшение	improvement [not совершенствование]
президент	president
рыба	fish
следить (за +inst)	"to watch, keep an eye on"
хватать/схватить	"to seize, grab (+a)"
темнота	darkness
тяжело	"heavily; gravely; it is hard, painful"
улыбка	smile
глупый	"stupid, silly"
зато	"in compensation, on the other hand"
лоб	forehead
немало	"not a little, a good many"
видимо	evidently
воевать	to wage war
поколение	generation
выступление	speech; (public) appearance
юноша	(a) youth
учитель	teacher
значительно	"significantly, considerably"
проза	prose
из-под (+g)	from under
промышленный	industrial
слабый	weak
стул	chair
фотография	photograph
ложиться/лечь	to lie down
цепь	chain
восстание	uprising
задание	"task, assignment"
наверно	"probably, most likely"
обращаться/обратиться (к +d)	"to turn to; (в +a) turn into; (c +inst) handle sth, treat s.o."
пробовать/по- (+inf)	to try; (+a) test; taste
октябрь	October
отличаться/отличиться	to distinguish os; (от +g i only) differ
вера	"faith, belief"
повторять/повторить (+a)	to repeat
содержание	content (noun)
устраивать/устроить	"to arrange, organize (sth) (+a)"
важно	it is important
демократический	democratic
крепко	firmly
долг	debt; (sg only) duty
зима	winter
переход	"crossing, transition"
знакомиться/по- (с +inst)	to become acquainted with; meet
портрет	portrait
чудо	"marvel, miracle"
бок	side
вводить/ввести (+a)	"to bring in, introduce"
молча	"in silence, without speaking"
держаться	(за +a) to hold on (to); (+g) keep to
настроение	mood
жалеть/по-	"(+a) to pity, feel sorry for; (o +pr) regret"
итак	"so, so then"
надеяться	to hope
облако	cloud
одновременно	simultaneously
отходить/отойти (от +g)	to move away (from); depart (train)
понятие	"concept, notion"
рождаться/родиться	to be born
стоимость	"cost, value"
поток	"stream, flow [not течение]"
стремление	"striving, aspiration, desire"
территория	territory
висеть	"to hang, be hanging"
вниз	down
горный	mountain (adj); mining
духовный	spiritual
автомобиль	car
городской	"urban, town (adj)"
диван	"divan, couch"
заговаривать/заговорить	to start speaking
кстати	"incidentally, by the way; opportunely"
образец	"model, pattern"
принадлежать (+d)	to belong to; (к +d) be a member of
суд	court (of law); trial
адрес	address
вверх	upwards
иностранный	foreign
литературный	literary
напоминать/напомнить	(+d  о +pr) to remind (s.o. of sth)
осторожно	"carefully, cautiously [not бережно]"
побеждать/победить	"to defeat, conquer (+a)"
полезный	useful
болезнь	illness
расчёт	calculation
уверенный	"confident, sure"
впереди	ahead
вскоре	soon
железо	iron
навстречу (+d)	towards
обладать (+inst)	to possess
опасный	dangerous
полтора	one and a half
южный	southern
считаться (+inst)	to be considered; (c +inst) take into account
трудовой	"labour, work (adj)"
участвовать (в +pr)	to take part in
шея	neck
бросаться/броситься	"to rush, throw oneself"
всеобщий	general; universal
