*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
el acrilonitrilo	acrylonitrile
la álaga	Alaga
la alheña	"henna, privet"
el amperímetro	"ammeter, amperemeter"
la archivística	archival
la autoflagelación	flagellation
el bestialismo	bestiality
la brahma	Brahma
el bromazo	a practical joke
*** 3371 - 3380 (/course/195613/spanish-nouns-4/338/)	
el cáustico	caustic
la cedilla	cedilla
la cianita	kyanite
el cincuentón	in one's fifties
el climatizador	climate
el codaste	stern
la concoide	conchoid
la criocirugía	cryosurgery
la defoliación	defoliation
la demacración	emaciation
*** 3341 - 3350 (/course/195613/spanish-nouns-4/339/)	
el escarbadientes	toothpick
la bordadora	embroidery
(el)(la) repórter	reporter
el superego	superego
el bañero	life guard
el envenenador	poisoner
la evasiva	excuse
el generalizador	generalizing
la hemiplejia	hemiplegia
el mecanógrafo	typist
*** 3401 - 3410 (/course/195613/spanish-nouns-4/340/)	
la incorporeidad	"incorporeity, disembodiment"
la indelicadeza	"indelicacy, abruptness"
la insustancialidad	insubstantiality
la jábega	seine
el jaquetón	bully braggart
el julepe	julep
la kinesiología	kinesiology
la maquilladora	makeup
el marchitamiento	wilt
la melamina	melamine
*** 3411 - 3420 (/course/195613/spanish-nouns-4/341/)	
la mesosfera	mesosphere
el meteoroide	meteoroid
el natrón	natron
el neutralismo	neutralism
la noosfera	noosphere
la notita	little note
el paleógrafo	"palaeographer, paleographer"
la palotada	Palotada
la picadora	"picador, mincer"
el picoteo	pecking
*** 3391 - 3400 (/course/195613/spanish-nouns-4/342/)	
el fueloil	fuel oil
la gambia	Gambia
la geofísica	geophysics
la gerontocracia	gerontocracy
la grajilla	"jackdaw, daw"
la hachemita	Hashemite
el hipocondríaco	hypochondriac
el íbice	ibex
la imploración	entreaty
la inconsideración	"thoughtlessness, recklessness"
*** 3421 - 3430 (/course/195613/spanish-nouns-4/343/)	
el pis	"pee, piss, wee-wee"
el portorriqueño	Puerto Rican
la presbicia	"presbyopia, farsightedness"
el prolongamiento	"prolongation, protraction"
la radiobaliza	radio beacon
el radiofaro	radiobeacon
el reconciliador	reconciler
la refulgencia	refulgence
el rutherfordio	rutherfordium
la sobreactuación	overacting
*** 3441 - 3450 (/course/195613/spanish-nouns-4/344/)	
la cochinada	"filth, filthiness, filthy remark"
el flux	"flush, stroke of luck"
el vidriado	"glaze, glazing, glazed earthenware"
el arriate	"bed, border, road"
el bayonetazo	bayonet thrust
el angelote	angelfish
la antífrasis	antiphrasis
el arácnido	"arachnid, arachnoid"
el aspirador	aspirator
la agredida	assaulted
*** 3431 - 3440 (/course/195613/spanish-nouns-4/345/)	
el socinianismo	Socinianism
la sombrerería	millinery
el sumerio	Sumerian
el tantrismo	Tantrism
(el)(la) tarambana	crackpot
la televenta	telesales
la timocracia	timocracy
el trullo	"nick, jail, can"
la baladronada	"boast, brag, piece of bravado"
el faradio	farad
*** 3451 - 3460 (/course/195613/spanish-nouns-4/346/)	
el agustino	Augustinian
el pespunte	backstitch
la barrilla	barilla
la habichuela	"bean, string bean, kidney bean"
la gayuba	bearberry
el primordio	blank
el rubio	"blond, sea robin, gurnard"
la niveladora	bulldozer
el juanete	bunion
el telefonazo	buzz
*** 3461 - 3470 (/course/195613/spanish-nouns-4/347/)	
la chocolatina	"candy bar, chocolate, chocolate bar"
la playera	"canvas shoe, beach shoe"
el consiliario	chaplain
el perifollo	chervil
el orfeón	choir
el cítrico	citrus fruits
(el)(la) colorista	colorist
los contraceptivos	contraceptives
el rechinamiento	creak
(el)(la) chipriota	Cypriote
*** 3481 - 3490 (/course/195613/spanish-nouns-4/348/)	
la generadora	generating
la driza	halyard
la agarradera	"handle, bar, rail"
(el)(la) excursionista	"hiker, tourist, tripper"
el bocinazo	"honk, hoot, blast"
la buscona	hooker
(el)(la) camorrista	hooligan
el carámbano	icicle
la labradora	Labrador
el laxante	laxative
*** 3471 - 3480 (/course/195613/spanish-nouns-4/349/)	
la diátesis	diathesis
el minusválido	"disabled, handicapped, handicapped person"
el bordador	embroiderer
el efímero	ephemeral
(el)(la) existencialista	existentialist
la admiradora	"fan, admirer"
el pasamano	fare
los deshilados	frayed
la fritanga	"fried food, fry-up"
el garitero	gambler
*** 3491 - 3500 (/course/195613/spanish-nouns-4/350/)	
el deshecho	"leak, dumps, dismantling"
el marrajo	mako
los manresanos	Manresa
el minibar	minibar
el tejemaneje	"monkey business, fuss, bustle"
el trasnochador	"night-walker, night-bird"
la paya	"non-gypsy, gorgio, improvised song"
el nubio	Nubian
el nucleón	nucleon
la paisana	one from the same country
*** 3531 - 3540 (/course/195613/spanish-nouns-4/351/)	
los tolanos	Tollan
el vegetariano	"vegetarian, vegan"
la tejedora	weaver
la obrada	wrought
la postema	abscess
la germana	German
(el)(la) socorrista	life guard
la dominicana	Dominican
la ecléctica	eclectic
el titulado	graduate
*** 3501 - 3510 (/course/195613/spanish-nouns-4/352/)	
los ópticos	optical
(el)(la) parietal	parietal bone
el copropietario	part-owner
el filisteo	philistine
la filacteria	phylactery
el platónico	Platonist
(el)(la) chorlito	"plover, curlew"
el propretor	"propretor, propraetor"
el pigmeo	pygmy
la desastrada	ragged
*** 3521 - 3530 (/course/195613/spanish-nouns-4/353/)	
el sorbito	sip
el granizado	"slush, slushie"
el blusón	"smock, big shirt, camp shirt"
la especuladora	speculative
la estalactita	stalactite
el estirado	straightening
el tartamudo	"stutterer, stammerer, stuttering"
el suburbano	suburban
la tangencia	tangency
el tracio	Thracian
*** 3541 - 3550 (/course/195613/spanish-nouns-4/354/)	
el amolador	grinder
la multimillonaria	multimillionaire
la neuróloga	neurologist
la primitiva	primitive
(el)(la) regicida	regicide
la reprimida	repressed
el rasgón	"tear, rip"
la siciliana	Sicilian
la surcoreana	South Korean
la tirana	tyrant
*** 3511 - 3520 (/course/195613/spanish-nouns-4/355/)	
las matarratas	"rat poison, rotgut, blue rum"
la rozadura	"rubbing, chafing, gall"
el chatarrero	"scrap dealer, scrap merchant, junkman"
el raspado	"scraping, scrape, curettage"
la escrófula	scrofula
(el)(la) sensacionalista	sensationalist
la separadora	separating
(el)(la) sefardí	sephardi
las borras	"shag, stuffing, sediment, thick wool"
la coquilla	shell
*** 3581 - 3590 (/course/195613/spanish-nouns-4/356/)	
el chiribitil	"cubby, cubby hole"
el chorreo	"gushing, spouting, drain"
el contrafagot	double bassoon
la cornalina	cornelian
el cotiledón	"cotyledon, seed leaf"
el desagradecimiento	ingratitude
la descalcificación	decalcification
el dosier	dossier
la dulía	dulia
el emparrillado	"grate, grating"
*** 3551 - 3560 (/course/195613/spanish-nouns-4/357/)	
las troyanas	Trojan
(el)(la) integrista	fundamentalist
el contrachapado	plywood
la mesonera	landlady
la estatalización	nationalization
el huerfanito	orphan
el limeño	Lima person
el moretón	bruise
el merino	merino
el peruano	Peruvian
*** 3561 - 3570 (/course/195613/spanish-nouns-4/358/)	
el abigarramiento	variegation
el acróstico	acrostic
la agrimonia	agrimony
la aguatinta	aquatint
la almáciga	"plantation, nursery"
la amalgamación	amalgamation
el amodorramiento	drowsiness
el antiprotón	antiproton
el armamentismo	armament
el asterismo	asterism
*** 3571 - 3580 (/course/195613/spanish-nouns-4/359/)	
la beatería	"sanctimoniousness, sanctimony, piousness"
el benjuí	"benzoin, benjamin"
el birimbao	"jew's-car, jew's-harp"
la blenda	blende
el bonachón	goody
el bultito	bump
el cacumen	"height, nous"
el cagadero	"bog, can, head"
la cangrejera	crabeater
la cariópside	caryopsis
*** 3591 - 3600 (/course/195613/spanish-nouns-4/360/)	
el endiosamiento	"vanity, conceit, haughtiness"
la escandalera	uproar
el espiráculo	spiracle
la eurocracia	eurocracy
el euroescéptico	Eurosceptic
el freón	freon
la fumarola	fumarole
la gallera	"coop, henhouse, chicken coop"
el gametófito	gametophyte
la gástrula	gastrula
*** 3601 - 3610 (/course/195613/spanish-nouns-4/361/)	
la glande	glans
el hibisco	hibiscus
el ictiólogo	ichthyologist
el imprimátur	imprimatur
la inculcación	inculcation
la inexorabilidad	inexorability
el jeto	ject
el kilobyte	kilobyte
la leprosería	leprosarium
el lutecio	lutetium
*** 3611 - 3620 (/course/195613/spanish-nouns-4/362/)	
el meristemo	meristem
el metaplasmo	metaplasm
la microcefalia	microcephaly
la milenrama	"yarrow, milfoil"
la mucina	mucin
el multiprocesamiento	multiprocessing
la nasofaringe	nasopharynx
el oriol	oriole
la paresia	paresis
la partitocracia	partitocracy
*** 3621 - 3630 (/course/195613/spanish-nouns-4/363/)	
la pateada	booted
el planchador	person who does the ironing
la posesividad	possessiveness
el prerromanticismo	preromanticism
la principalidad	principality
el ragú	ragout
el respe	respected
el retaco	shorty
el rímel	mascara
el rosbif	roast beef
*** 3631 - 3640 (/course/195613/spanish-nouns-4/364/)	
la semiesclavitud	semislavery
la superveniencia	supervenience
el tartrato	tartrate
la temperancia	moderation
la teneduría	position of bookkeeper
el terbio	terbium
la tiradora	"handle, shooter"
la ultratumba	"hereafter, beyond"
el vallecito	valley
el zampullín	grebe
*** 3641 - 3650 (/course/195613/spanish-nouns-4/365/)	
la contemporización	"temporizing, appeasement"
la verdulera	"greengrocer, grocer"
el jerezano	from Jerez
la catalana	Catalonian
el saltito	"jump, leap"
la millonada	fortune
el abusador	abuser
el acadio	Akkadian
la alidada	alidade
el aleluya	"alleluia, hallelujah"
*** 3651 - 3660 (/course/195613/spanish-nouns-4/366/)	
el alodio	"allodium, alodium"
la amatista	amethyst
el florilegio	"anthology, treasury"
la aféresis	aphaeresis
la asilada	asylee
la begonia	begonia
la trencilla	braid
el bugle	bugle
la candelaria	candlemas
la carnalidad	carnality
*** 3671 - 3680 (/course/195613/spanish-nouns-4/367/)	
el cultismo	cultism
los danzadores	dancers
(el)(la) polemista	"debater, polemicist, polemic"
la negadora	denying
el destilador	distiller
la taquillera	draw
(el)(la) estupefaciente	"drug, narcotic, opiate"
el moribundo	dying
el esmeril	emery
la alentadora	encouraging
*** 3661 - 3670 (/course/195613/spanish-nouns-4/368/)	
el catarrino	catarrhine
los quilópodos	Chilopoda
la clorosis	chlorosis
la escaladora	climber
el tortazo	"clout, slap, smack"
el engrane	"cogwheel, cog"
el serpentín	"cooling coil, heating coil"
el llanero	"cowboy, plainsman"
el criminólogo	criminologist
(los)(las) cubistas	Cubist
*** 3691 - 3700 (/course/195613/spanish-nouns-4/369/)	
el trancazo	"flu, blow with a stick, blow with a club"
el comestible	"food, groceries"
el falsario	"forger, falsifier"
el aspaviento	"fuss, wild gesticulation"
la gingivitis	gingivitis
la tenebrosidad	gloom
la gónada	gonad
la grosella	"gooseberry, currant, redcurrant"
el agarradero	"grip, handgrip"
el paleto	"hick, bumpkin, peasant"
*** 3681 - 3690 (/course/195613/spanish-nouns-4/370/)	
el entimema	enthymeme
la enuresis	enuresis
los efesios	Ephesians
el evaporador	evaporator
las extralimitaciones	excesses
(el)(la) fetichista	fetishist
la potra	"filly, good luck, luck"
el cinéfilo	"film fan, cinephile, film buff"
el pirómano	firebug
la florería	"flower shop, florist's"
*** 3701 - 3710 (/course/195613/spanish-nouns-4/371/)	
el honorario	honorarium
el cañizo	hurdle
el botarate	"idiot, fool, dumbass"
la ensambladura	"joint, scarfing"
el kazajo	Kazakh
la encajera	Lacemaker
(el)(la) latifundista	landowner
el andarivel	lifeline
la candileja	limelight
la mujercilla	little woman
*** 3721 - 3730 (/course/195613/spanish-nouns-4/372/)	
la pelada	"prickly pear, poor person, tongue-sole"
el propóleos	propolis
los prosternados	prostrate
la siquis	psyche
el radián	radian
la calificadora	ratings
la reflectora	reflective
la regurgitación	regurgitation
la refrenada	restrained
el rulo	"roller, curler, curl"
*** 3711 - 3720 (/course/195613/spanish-nouns-4/373/)	
el encantador	"magician, enchanter/enchantress"
el mauritano	Mauritanian
el metacarpo	metacarpus
el nectario	nectary
(el)(la) obstetra	OB
la perlesía	palsy
la percalina	percaline
el horcón	"pitchfork, forked prop, wooden post"
el arador	plowman
(el)(la) ceramista	"potter, ceramist"
*** 3731 - 3740 (/course/195613/spanish-nouns-4/374/)	
la esclerótica	sclera
el asimiento	"seizure, hold, grasp"
el varal	"shaft, batten"
la culebrilla	shingles
el tijeretazo	snip
la centolla	spider crab
las ascidias	squirts
los pisados	stepped
la oclusiva	stop
(el)(la) maje	sucker
*** 3751 - 3760 (/course/195613/spanish-nouns-4/375/)	
la aviadora	"aviator, airman, flier"
el danzarín	dancer
la cántabra	Cantabrian
la científica	scientist
la extremeña	Extremadura
la charnela	hinge
el cuanto	quantum
el ajustamiento	adjustment
(el)(la) detallista	retailer
(el)(la) sunnita	Sunni
*** 3741 - 3750 (/course/195613/spanish-nouns-4/376/)	
la mantelería	"table linen, linen, linens"
la casca	"tan, bark"
(el)(la) telegrafista	telegraphist
la tesela	tile
el libraco	tome
el mastelero	topmast
el desagradecido	"ungrateful person, ingrate"
la videocinta	video tape
la adulta	adult
la armadora	"shipowner, ship operator"
*** 3761 - 3770 (/course/195613/spanish-nouns-4/377/)	
el birmano	Burmese
el bailable	dance
la licuación	liquefaction
el trapeador	mop
el puterío	whoring
el tinerfeño	Tenerife
la viceconsejera	Deputy Minister
el aburguesamiento	gentrification
la acromegalia	acromegaly
el afrontamiento	confrontation
*** 3771 - 3780 (/course/195613/spanish-nouns-4/378/)	
el aletargamiento	lethargy
el alevoso	traitor
el amito	amice
la andrómeda	Andromeda
la anochecida	dusk
el areópago	Areopagus
el ausentismo	absenteeism
la autodirección	homing
la auxina	auxin
la brillantina	"brilliantine, glitter, hair oil"
*** 3801 - 3810 (/course/195613/spanish-nouns-4/379/)	
la espumadera	skimmer
la estolidez	stolidity
el estramonio	stramonium
el facistol	lectern
el fogueo	blanks
el frascuelo	Frascuelo
el fundente	flux
la futurología	futurology
la galena	galena
la geminación	gemination
*** 3781 - 3790 (/course/195613/spanish-nouns-4/380/)	
la calorimetría	calorimetry
el calzo	"wedge, chock, shoe"
la capona	Capona
la casiterita	cassiterite
el cernido	sifting
la coalescencia	coalescence
la coctelería	cocktail
el compañerito	fellah
la consustancialidad	consubstantiality
el conversador	conversationalist
*** 3791 - 3800 (/course/195613/spanish-nouns-4/381/)	
(el)(la) culturista	bodybuilder
el desaprovechamiento	wastage
la devanadera	winder
el duraluminio	duralumin
la ébola	Ebola
el ecualizador	equalizer
la electrostática	electrostatics
la emersión	emersion
el engendramiento	breeding
la espaciosidad	roominess
*** 3831 - 3840 (/course/195613/spanish-nouns-4/382/)	
el mirabel	mirabelle
la navajita	grama
(el)(la) nepalí	Nepalese
el nonagenario	nonagenarian
la notaria	notary's office
la ornitina	ornithine
la paralela	parallel
la piromanía	pyromania
la prensión	prehension
el presbiterado	presbyterate
*** 3811 - 3820 (/course/195613/spanish-nouns-4/383/)	
la gentecilla	little people
la geoquímica	geochemistry
el gibón	gibbon
el gluón	gluon
el gremialismo	labour movement
el heliógrafo	heliograph
la hematoxilina	hematoxylin
la herpetología	herpetology
(el)(la) hijoputa	motherfucker
la hojalatería	sheet shop
*** 3821 - 3830 (/course/195613/spanish-nouns-4/384/)	
la impuntualidad	"unpunctuality, lack of punctuality, slowness"
la inseparabilidad	inseparability
la intubación	intubation
el jebe	rubber
la labilidad	lability
la laica	secular
la lexicología	lexicology
la macrofiesta	macro party
la manida	hackneyed
la miopatía	myopathy
*** 3881 - 3890 (/course/195613/spanish-nouns-4/385/)	
el soplador	blower
los tablones	"board, plank"
el bichero	boathook
el ladrillero	brickmaker
la colleja	campion
el palmetazo	"caning, blow, slap in the face"
el cardias	cardia
(el)(la) catequista	catechist
el desdeñoso	cavalier
los terrones	"clod, lump"
*** 3851 - 3860 (/course/195613/spanish-nouns-4/386/)	
la sobrasada	Majorcan sausage
la sodoma	Sodom
el solideo	"skullcap, cap"
el tricentenario	"tercentenary, tricentenary"
la tropopausa	tropopause
el vagabundaje	vagrancy
la vituperación	vituperation
el blandón	"wax taper, large candlestick"
la literata	bluestocking
el arbotante	flying buttress
*** 3861 - 3870 (/course/195613/spanish-nouns-4/387/)	
la navecilla	nacelle
la colegiatura	fellowship
la pesquera	"fishing boat, factory boat"
la virada	"tack, tacking"
el adherente	"adherent, glue, adhesive"
la gestoría	"agency that undertakes administrative work, administrator"
los aerofrenos	airbrake
(el)(la) alienista	alienist
los aligátores	alligators
el antioxidante	antioxidant
*** 3841 - 3850 (/course/195613/spanish-nouns-4/388/)	
(el)(la) proyeccionista	projectionist
el puñetero	pest
el quiche	quiche
el quiosquero	newsagent
el radioteléfono	radiotelephone
el repe	repeated
la repetitividad	repeatability
la riboflavina	riboflavin
el sandinismo	Sandinista
la semidiosa	demigoddess
*** 3871 - 3880 (/course/195613/spanish-nouns-4/389/)	
la artería	"artery, cunning, artfulness"
los artiodáctilos	artiodactyls
el austral	austral
(el)(la) automotriz	automotive
la cornamusa	bagpipe
el abalorio	"bead, trinket, glass bead"
el fréjol	beans
el biselado	bevelling
(el)(la) rompehuelgas	"blackleg, strikebreaker"
la cegadora	blinding
*** 3891 - 3900 (/course/195613/spanish-nouns-4/390/)	
los coligados	coalesced
el chicharrón	"crackling, chicharrones, pork rind"
la crepe	"crepe, pancake"
(el)(la) penalista	"criminal lawyer, penologist"
el visillo	"curtain, lace curtain, net curtain"
la deslumbradora	dazzling
el divorciado	divorcé/divorcée
el gotero	dropper
la garceta	"egret, aigrette"
(el)(la) equilibrista	"equilibrist, aerialist, balancer"
*** 3921 - 3930 (/course/195613/spanish-nouns-4/391/)	
(el)(la) heterosexual	heterosexual
la hurí	houri
el aerodeslizador	"hovercraft, hydrofoil"
el integrador	integrator
la jarrita	jar
el pateador	kicker
la rodillera	"kneepad, knee guard, knee-patch"
la laberintitis	labyrinthitis
el vejamen	"lampoon, obloquy"
la reidora	Laughing
*** 3901 - 3910 (/course/195613/spanish-nouns-4/392/)	
el contravalor	equivalent
las euforbiáceas	Euphorbiaceae
el gamonal	"expr, cacique, chieftain"
el fibroma	fibroma
el cortafuego	firewall
(los)(las) flagelantes	flagellants
la parvada	flock
el macetero	flowerpot stand
la fluxión	fluxion
el guiri	"foreigner, foreign tourist"
*** 3931 - 3940 (/course/195613/spanish-nouns-4/393/)	
el portaminas	"leadholder, mechanical pencil, propelling pencil"
la leishmaniosis	leishmaniasis
el abrecartas	letter opener
el pardillo	linnet
el litre	liter
el taparrabo	loincloth
el losange	"lozenge, diamond"
la lúnula	lunula
las ménades	maenads
el mahometano	"Mahometan, Mohammedan"
*** 3911 - 3920 (/course/195613/spanish-nouns-4/394/)	
(los)(las) legistas	forensic
el frecuentador	frequenter
el calibrador	"gauge, callipers, calipers"
el pececito	goldfish
la empastada	grassed
el bosquete	grove
el guineano	Guinea
el alucinógeno	hallucinogen
el audífono	"hearing aid, earphone"
la bastilla	hem
*** 3961 - 3970 (/course/195613/spanish-nouns-4/395/)	
el abastecedor	"provider, caterer, grocer"
la podadera	"pruning shear, secateurs, pruning knife"
la compradora	"purchaser, buyer, shopper"
(el)(la) purasangre	pureblood
los matasanos	"quack, sawbones"
el cuarterón	"quadroon, quarter pound"
el tremedal	"quagmire, quag, quaking bog"
el radiotransmisor	radio transmitter
el apreciador	rater
los canalillos	rill
*** 3941 - 3950 (/course/195613/spanish-nouns-4/396/)	
el morabito	marabout
el zurcido	"mend, darn"
la purpurina	"metallic paint, metallic powder, metallic flakes"
el microsegundo	microsecond
las microsporas	microspores
la sombrerera	"milliner, bandbox"
el inadaptado	misfit
los mezclados	mixed
el modelador	"modeller, modeler"
el amarradero	"mooring, berth, moorage"
*** 3991 - 4000 (/course/195613/spanish-nouns-4/397/)	
el victimario	victimizer
el gritito	yelp
la veladura	glazing
el setter	setter
el decibel	decibel
la descubridora	"discoverer, finder"
el repente	start
(el)(la) financista	financier
la generalizadora	generalizing
la hostelera	"owner, innkeeper"
*** 3981 - 3990 (/course/195613/spanish-nouns-4/398/)	
(los)(las) somalíes	"Somali, Somalian"
el cuentakilómetros	"speedometer, odometer, milometer"
el estereoscopio	stereoscope
(el)(la) subcontratista	subcontractor
las subzonas	subzones
la pella	"suet, lard, debt"
la sumadora	summing
los tardígrados	tardigrades
la atormentadora	tormenting
el atormentador	tormentor
*** 3951 - 3960 (/course/195613/spanish-nouns-4/399/)	
la miocarditis	myocarditis
la tirilla	neckband
(los)(las) nihilistas	nihilist
la chorrada	"nonsense, silly comment, clutter"
los odonatos	Odonata
el oloroso	oloroso
(el)(la) ovetense	Oviedo
los chícharos	pea
la pletina	platen
el politiqueo	"political jobbery, party politics"
*** 3971 - 3980 (/course/195613/spanish-nouns-4/400/)	
el romántico	romantic
la andana	"row, swath, line"
el bocata	sandwich
el santanderino	Santander
el escafoides	scaphoid
el diecisiete	"seventeen, seventeenth"
el esquilador	"shearer, sheepshearer"
la escota	sheet
el simplón	"simpleton, nitwit"
el retal	snippet
*** 4001 - 4010 (/course/195613/spanish-nouns-4/401/)	
el iberoamericano	Latin American
la liquidadora	liquidator
la mercenaria	"mercenary, hireling"
el mainel	mullion
(el)(la) plaguicida	pesticide
la provinciana	"provincial, countryman, country dweller"
la prusiana	Prussian
la puerca	"pig, hog"
la tísica	consumptive
(el)(la) depositante	depositor
*** 4011 - 4020 (/course/195613/spanish-nouns-4/402/)	
la algalia	civet
el ecléctico	eclectic
el enervamiento	enervation
el magnolio	magnolia
la religiosa	nun
la aguijada	goad
la alevosa	treacherous
la anestesiología	anesthesiology
el anisete	anisette
el arráez	Arráez
*** 4021 - 4030 (/course/195613/spanish-nouns-4/403/)	
el arrebatamiento	"snatching away, seizure, captivation"
el averno	shades
la avilantez	audacity
el bacará	baccarat
la brotación	sprouting
el caldito	broth
el capibara	capybara
la casia	cassia
la chinga	"butt, beating, hiding"
la ciática	sciatica
*** 4031 - 4040 (/course/195613/spanish-nouns-4/404/)	
la ciclotimia	cyclothymia
la cistina	cystine
la cleptomanía	"kleptomania, kleptomaniac"
la cocinilla	stove
el constitutivo	constituent element
la contractilidad	contractility
el cuatrimestre	"triannual, four-month period"
el desangramiento	bleeding
el descoco	shamelessness
el descompresor	decompressor
*** 4041 - 4050 (/course/195613/spanish-nouns-4/405/)	
la diabasa	diabase
la encimera	"worktop, countertop"
la endemia	endemic
el entrometido	"busybody, meddler"
el entrometimiento	"interference, obtrusion, meddlesomeness"
el ergotismo	ergotism
la exigüidad	exiguity
la falsación	falsification
el favorcito	little favor
la fracturación	fracturing
*** 4051 - 4060 (/course/195613/spanish-nouns-4/406/)	
el gastroenterólogo	gastroenterologist
la gnomónica	gnomonic
el granjeo	earned
el hipocausto	hypocaust
el idiolecto	idiolect
la impenitencia	impenitence
la intermediaria	"intermediate, intermediary, middleman"
(el)(la) junior	"junior, rich boy"
el lebeche	libeccio
el limosnero	"almoner, purse, coin purse"
*** 4071 - 4080 (/course/195613/spanish-nouns-4/407/)	
el palmoteo	clap
el pangolín	pangolin
la petrología	petrology
la picha	"bit, iota, dick"
el pirómetro	pyrometer
la podología	chiropody
la previsora	sighted
el príamo	Priam
el radiogoniómetro	direction-finder
el rebobinado	rewinding
*** 4061 - 4070 (/course/195613/spanish-nouns-4/408/)	
la luminotecnia	lighting
la macrocefalia	macrocephaly
el marabú	"marabou, adjutant"
la mayordoma	Mistress
el melanismo	melanism
el mohair	mohair
la mosquetería	musketry
el muecín	muezzin
la nuclearización	nuclearization
la orquestra	orchestra
*** 4091 - 4100 (/course/195613/spanish-nouns-4/409/)	
la vulcanología	volcanology
la restinga	"sandbar, shoal, mud bank"
el guarnicionero	"leather worker, leather craftsperson, harness maker"
(el)(la) golpista	coup participant
el licitador	"bidder, auctioneer"
los abisinios	Abyssinian
los algonquinos	Algonquin
la azagaya	assegai
el babilonio	Babylonian
la ajorca	bangle
*** 4081 - 4090 (/course/195613/spanish-nouns-4/410/)	
la reología	rheology
la retrospección	"retrospect, retrospection"
la robotización	robotization
la sacarina	"saccharine, saccharin"
la sextilla	sextuplet
la temporalización	temporalization
la tonelería	cooperage
el tóner	toner
(el)(la) utilitarista	utilitarian
la verdea	turns green
*** 4101 - 4110 (/course/195613/spanish-nouns-4/411/)	
los barbitúricos	barbiturates
el abejero	beekeeper
la bloqueadora	blocking
el sobresueldo	bonus
el bóvido	bovid
el desposado	bridegroom
el guapo	"bully, tough guy"
el topetazo	butt
el cauterio	cautery
la coroides	choroid
*** 4121 - 4130 (/course/195613/spanish-nouns-4/412/)	
la bandería	faction
el ricachón	filthy rich man
la frutera	fruit dish
los tahures	"gambler, blackleg"
la gestapo	gestapo
el glucósido	glucoside
la pintada	"graffiti, guinea-fowl"
el gruñón	"grouch, grumbler"
el borbotón	"gush, burble, bubbling"
el hematólogo	"haematologist, hematologist"
*** 4111 - 4120 (/course/195613/spanish-nouns-4/413/)	
(el)(la) comunista	communist
el cornejo	cornel
el aduanero	customs officer
el difamador	defamer
el desfibrilador	defibrillator
la insulsez	dullness
la eflorescencia	efflorescence
el emolumento	emolument
la enteritis	enteritis
el ojete	"eyelet, coward, asshole"
*** 4131 - 4140 (/course/195613/spanish-nouns-4/414/)	
el alción	halcyon
la cabezuela	head of the flower
la hiperhidrosis	hyperhidrosis
la moradora	"inhabitant, denizen"
el invertebrado	invertebrate
la isoterma	isotherm
(el)(la) kitsch	kitsch
la curda	Kurdish
la cántara	large pitcher
el legatario	legatee
*** 4141 - 4150 (/course/195613/spanish-nouns-4/415/)	
el liberiano	Liberian
el libio	Libyan
el mogollón	"loads, heaps, fuss"
el luminar	luminal
el maquillador	"makeup artist, makeup man"
las albondiguillas	meatballs
(los)(las) madianitas	Midianites
el laminador	mill
la mimosa	"mimosa, sensitive plant, touch-me-not"
(el)(la) miniaturista	miniaturist
*** 4151 - 4160 (/course/195613/spanish-nouns-4/416/)	
el multicolor	"multicolor, multicolour"
la murmuradora	murmuring
el parmesano	Parmesan
la petunia	petunia
la pictografía	"pictography, pictograph, picture writing"
el acerico	pincushion
el vergajo	pizzle
los politiqueros	politicians
el granado	pomegranate
el pompón	Pompon
*** 4161 - 4170 (/course/195613/spanish-nouns-4/417/)	
el pornógrafo	pornographer
el presumido	poseur
el disoluto	"profligate, debauchee"
los fruncidos	pursed
el agostadero	rangeland
el dimisionario	resigned
la escaleta	rundown
el saladar	"saltings, alkali soil"
la semicorchea	semiquaver
la sensitiva	sensitive plant
*** 4171 - 4180 (/course/195613/spanish-nouns-4/418/)	
el picapleitos	"shyster, pettifogger"
el dormilón	"sleepyhead, easy chair"
el portaligas	suspender belt
el esgrimidor	"swordsman, fencer"
la tachuela	"tack, thumbtack"
el comején	"termite, fire ant"
la tumoración	tumor
la unitaria	unit
el vulgarismo	vulgarism
la quejumbre	whine
*** 4181 - 4190 (/course/195613/spanish-nouns-4/419/)	
el pipiolo	"youngster, novice, tyro"
la albanesa	Albanian
el chabacano	apricot
la antepasada	ancestor
la jibia	cuttlefish
la licorera	decanter
la despilfarradora	spendthrift
la donadora	donor
la cebadura	fattening
la mantenedora	maintainer
*** 4191 - 4200 (/course/195613/spanish-nouns-4/420/)	
el macillo	hammer
la magulladura	bruise
el pandemonio	pandemonium
la mamola	chuck
la predicadora	preacher
el suflé	souffle
el avisador	timer
la usuaria	user
el toxicómano	drug addict
(el)(la) siquiatra	psychiatrist
*** 4231 - 4240 (/course/195613/spanish-nouns-4/421/)	
el celacanto	coelacanth
la chupeta	"Peruvian tunic, lollipop, roundhouse"
el clac	"opera hat, crushhat"
la claqueta	clapperboard
la colchicina	colchicine
el coquetismo	coquetry
la cordita	cordite
la credencia	credence
el cuatrillón	quadrillion
el demógrafo	demographer
*** 4211 - 4220 (/course/195613/spanish-nouns-4/422/)	
el samaritano	Samaritan
el zaragozano	Zaragoza
la adhesividad	adhesiveness
el afeminamiento	effeminacy
el alizar	Alizar
la apatita	apatite
la areca	"areca, betel nut"
la asparagina	asparagine
la astringencia	astringency
el atontamiento	stunning
